"Istituto Principale";Scuola;"Tipo Istituto";"Tipo Gestione";Dirigente;Direttore;"Coordinatore Pedagogico";Indirizzo;Comune;Telefono;Fax;"Email istituto";"Email dirigenza";"Email segreteria";"Sito web";"Codice MIUR"
"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO";;"A carattere statale/provinciale";"VALENTINA ZANOLLA";;;"Via Perlasca, 4 38017";MEZZOLOMBARDO;0461/601122;0461/601470;martini@pec.provincia.tn.it;dir.martini.mezzolombardo@scuole.provincia.tn.it;segr.martini.mezzolombardo@scuole.provincia.tn.it;https://www.martinomartini.eu;TNTD00301L
"COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO";"ISTITUTO TECNICO PER IL SETTORE ECONOMICO";;Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Via Monsignor  Endrici, 23 38122";TRENTO;0461/1731200;0461/1731288;collegioarcivescovile@pec.it;collegioarcivescovile@arcivescoviletrento.it;didatticatn@arcivescoviletrento.it;https://www.arcivescoviletrento.it;TNTD37500F
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO";;"A carattere statale/provinciale";"GIULIO BERTOLDI";;;"Via XXIV Maggio, 7 38051";"BORGO VALSUGANA";0461/753647;0461/753364;degasperi@pec.provincia.tn.it;dir.istalcidedegasperi@scuole.provincia.tn.it;segr.istalcidedegasperi@scuole.provincia.tn.it;https://www.istalcidedegasperi.it;TNTD00201R
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";"LICEO SCIENTIFICO";;"A carattere statale/provinciale";"RENATO PAOLI";;;"Via Durone, 53 38079";"TIONE DI TRENTO";0465/321735;0465/322811;guetti@pec.provincia.tn.it;dir.guetti@scuole.provincia.tn.it;segr.guetti@scuole.provincia.tn.it;https://www.guetti.tn.it;TNPS007014
"ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO";;"Istituzione scolastica e formativa";"A carattere statale/provinciale";"MARIA PRODI";;;"Via Delle Fonti - Transacqua, 10 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439/62435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;TNIC810009
"SOCIETA' COOPERATIVA A R.L. ""I. DE CARNERI"" OXFORD CIVEZZANO";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO";;Paritaria/equiparata;"GIOVANNI SCALFI";"CLAUDIO MARCH";;"Via Murialdo, 30 38045";CIVEZZANO;0461/857003;0461/857284;oxford@pec.cooperazionetrentina.it;;info@istitutodecarneri.it;https://www.istitutodecarneri.it;TNTE045005
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO";;"A carattere statale/provinciale";"MARCO FELICETTI";;;"Via Gandhi, 1 38033";CAVALESE;0462/341449;0462/248071;weisserose@pec.provincia.tn.it;dir.iicavalese@scuole.provincia.tn.it;segr.iicavalese@scuole.provincia.tn.it;https://www.scuolefiemme.tn.it;TNTL00101B
"LICEO ""A. Rosmini"" - ROVERETO";;"Istituzione scolastica e formativa";"A carattere statale/provinciale";"PAOLO PENDENZA";;;"Corso Bettini, 86 38068";ROVERETO;0464/437700;0464/420025;rosmini.rovereto@pec.provincia.tn.it;dir.liceorosmini@scuole.provincia.tn.it;segr.liceorosmini@scuole.provincia.tn.it;https://www.liceorosmini.eu;TNPC02000A
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";"LICEO DELLE SCIENZE UMANE";;"A carattere statale/provinciale";"TIZIANA GULLI";;;"Via S Pietro, 4 38057";"PERGINE VALSUGANA";0461/511397;0461/531743;curie@pec.provincia.tn.it;dir.curie.pergine@scuole.provincia.tn.it;segr.curie.pergine@scuole.provincia.tn.it;https://www.curiepergine.it;TNPS00401L
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";"LICEO SCIENTIFICO";;"A carattere statale/provinciale";"GIULIO BERTOLDI";;;"Via XXIV Maggio, 7 38051";"BORGO VALSUGANA";0461/753647;0461/753364;degasperi@pec.provincia.tn.it;dir.istalcidedegasperi@scuole.provincia.tn.it;segr.istalcidedegasperi@scuole.provincia.tn.it;https://www.istalcidedegasperi.it;TNPS002011
"LICEO ""A. Rosmini"" - ROVERETO";"LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE";;"A carattere statale/provinciale";"PAOLO PENDENZA";;;"Corso Bettini, 86 38068";ROVERETO;0464/437700;0464/420025;rosmini.rovereto@pec.provincia.tn.it;dir.liceorosmini@scuole.provincia.tn.it;segr.liceorosmini@scuole.provincia.tn.it;https://www.liceorosmini.eu;TNPC02000A
"LICEO SCIENTIFICO ""G. Galilei"" - TRENTO";;"Istituzione scolastica e formativa";"A carattere statale/provinciale";"ELENA RUGGIERI";;;"Viale Bolognini, 88 38122";TRENTO;0461/913479;0461/913367;galilei@pec.provincia.tn.it;dir.liceogalilei@scuole.provincia.tn.it;segr.liceogalilei@scuole.provincia.tn.it;https://www.lsgalilei.org/;TNPS01000V
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";"ISTITUTO TECNICO PER IL SETTORE ECONOMICO - PREDAZZO";;"A carattere statale/provinciale";"MARCO FELICETTI";;;"Corso Degasperi, 14 38037";PREDAZZO;0462/341449;0462/248071;weisserose@pec.provincia.tn.it;dir.iicavalese@scuole.provincia.tn.it;segr.iicavalese@scuole.provincia.tn.it;https://www.scuolefiemme.tn.it;TNTD001011
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE";;"A carattere statale/provinciale";"GIULIO BERTOLDI";;;"Via XXIV Maggio, 7 38051";"BORGO VALSUGANA";0461/753647;0461/753364;degasperi@pec.provincia.tn.it;dir.istalcidedegasperi@scuole.provincia.tn.it;segr.istalcidedegasperi@scuole.provincia.tn.it;https://www.istalcidedegasperi.it;TNTD002505
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO";;"A carattere statale/provinciale";"PAOLO CHINCARINI";;;"Viale Dei Tigli, 43 38066";"RIVA DEL GARDA";0464/578511;0464/578555;floriani@pec.provincia.tn.it;dir.istitutofloriani@scuole.provincia.tn.it;segr.istitutofloriani@scuole.provincia.tn.it;https://www.g-floriani.it;TNTD00801Q
"ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO";;"A carattere statale/provinciale";"MARIA PRODI";;;"Via Delle Fonti - Transacqua, 10 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439/62435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;TNTD170007
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";"LICEO SCIENTIFICO";;"A carattere statale/provinciale";"MARCO FELICETTI";;;"Via Gandhi, 1 38033";CAVALESE;0462/341449;0462/248071;weisserose@pec.provincia.tn.it;dir.iicavalese@scuole.provincia.tn.it;segr.iicavalese@scuole.provincia.tn.it;https://www.scuolefiemme.tn.it;TNPS001015
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";"ISTITUTO TECNICO PER IL SETTORE ECONOMICO";;"A carattere statale/provinciale";"GIULIO BERTOLDI";;;"Via XXIV Maggio, 7 38051";"BORGO VALSUGANA";0461/753647;0461/753364;degasperi@pec.provincia.tn.it;dir.istalcidedegasperi@scuole.provincia.tn.it;segr.istalcidedegasperi@scuole.provincia.tn.it;https://www.istalcidedegasperi.it;TNTD00201R
"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO";;"A carattere statale/provinciale";"DANIELA DEPENTORI";;;"Via Monti, 1 38068";ROVERETO;0464/411400;0464/419130;marconi@pec.provincia.tn.it;dir.itimarconi@scuole.provincia.tn.it;segr.itimarconi@scuole.provincia.tn.it;https://www.marconirovereto.it;TNTF02000G
"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO";"ISTITUTO TECNICO PER IL SETTORE ECONOMICO";;"A carattere statale/provinciale";"VALENTINA ZANOLLA";;;"Via Perlasca, 4 38017";MEZZOLOMBARDO;0461/601122;0461/601470;martini@pec.provincia.tn.it;dir.martini.mezzolombardo@scuole.provincia.tn.it;segr.martini.mezzolombardo@scuole.provincia.tn.it;https://www.martinomartini.eu;TNTD00301L
"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO";;"Istituzione scolastica e formativa";"A carattere statale/provinciale";"DANIELA DEPENTORI";;;"Via Monti, 1 38068";ROVERETO;0464/411400;0464/419130;marconi@pec.provincia.tn.it;dir.itimarconi@scuole.provincia.tn.it;segr.itimarconi@scuole.provincia.tn.it;https://www.marconirovereto.it;TNTF02000G
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO";"ISTITUTO TECNICO PER IL SETTORE ECONOMICO";;"A carattere statale/provinciale";"GIUSEPPE SANTOLI";;;"Via Del Teatro, 4 38068";ROVERETO;0464/436100;0464/434116;fontana@pec.provincia.tn.it;dir.fontana@scuole.provincia.tn.it;segr.fontana@scuole.provincia.tn.it;https://www.fgfontana.eu;TNTD020009
"COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO";;Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Via Monsignor  Endrici, 23 38122";TRENTO;0461/1731200;0461/1731288;collegioarcivescovile@pec.it;collegioarcivescovile@arcivescoviletrento.it;didatticatn@arcivescoviletrento.it;https://www.arcivescoviletrento.it;TNTD37500F
"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO";"LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE";;"A carattere statale/provinciale";"VALENTINA ZANOLLA";;;"Via Perlasca, 4 38017";MEZZOLOMBARDO;0461/601122;0461/601470;martini@pec.provincia.tn.it;dir.martini.mezzolombardo@scuole.provincia.tn.it;segr.martini.mezzolombardo@scuole.provincia.tn.it;https://www.martinomartini.eu;TNPS00301R
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO";"ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE";;"A carattere statale/provinciale";"GIUSEPPE SANTOLI";;;"Via Del Teatro, 4 38068";ROVERETO;0464/436100;0464/434116;fontana@pec.provincia.tn.it;dir.fontana@scuole.provincia.tn.it;segr.fontana@scuole.provincia.tn.it;https://www.fgfontana.eu;TNTD02050P
"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA";"LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE";;"A carattere statale/provinciale";"GIULIO BERTOLDI";;;"Via XXIV Maggio, 7 38051";"BORGO VALSUGANA";0461/753647;0461/753364;degasperi@pec.provincia.tn.it;dir.istalcidedegasperi@scuole.provincia.tn.it;segr.istalcidedegasperi@scuole.provincia.tn.it;https://www.istalcidedegasperi.it;TNPS002011
"ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO";"ISTITUTO TECNICO PER IL SETTORE ECONOMICO";;"A carattere statale/provinciale";"MARIA PRODI";;;"Via Delle Fonti - Transacqua, 10 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439/62435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;TNTD170007
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA";"ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE";;"A carattere statale/provinciale";"PAOLO CHINCARINI";;;"Viale Dei Tigli, 43 38066";"RIVA DEL GARDA";0464/578511;0464/578555;floriani@pec.provincia.tn.it;dir.istitutofloriani@scuole.provincia.tn.it;segr.istitutofloriani@scuole.provincia.tn.it;https://www.g-floriani.it;TNTD008515
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";"LICEO DELLE SCIENZE UMANE";;"A carattere statale/provinciale";"RENATO PAOLI";;;"Via Durone, 53 38079";"TIONE DI TRENTO";0465/321735;0465/322811;guetti@pec.provincia.tn.it;dir.guetti@scuole.provincia.tn.it;segr.guetti@scuole.provincia.tn.it;https://www.guetti.tn.it;TNPS007014
"FONDAZIONE EDMUND MACH - ISTITUTO AGRARIO SAN MICHELE ALL'ADIGE";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO";;Paritaria/equiparata;"MANUEL PENASA";"CLAUDIA BISOGNIN";;"Via Mach, 1 38098";"SAN MICHELE ALL'ADIGE";0461/615213;0461/615273;amministrazione.cif@pec.iasma.it;;segreteria.scuola@fmach.it;https://www.fmach.it;TNTA01500B
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";"LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE";;"A carattere statale/provinciale";"MARCO FELICETTI";;;"Via Gandhi, 1 38033";CAVALESE;0462/341449;0462/248071;weisserose@pec.provincia.tn.it;dir.iicavalese@scuole.provincia.tn.it;segr.iicavalese@scuole.provincia.tn.it;https://www.scuolefiemme.tn.it;TNPS001015
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";;"Istituzione scolastica e formativa";"A carattere statale/provinciale";"TIZIANA GULLI";;;"Via S Pietro, 4 38057";"PERGINE VALSUGANA";0461/511397;0461/531743;curie@pec.provincia.tn.it;dir.curie.pergine@scuole.provincia.tn.it;segr.curie.pergine@scuole.provincia.tn.it;https://www.curiepergine.it;TNIS004006
"COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO";"LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO";;Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Via Monsignor  Endrici, 23 38122";TRENTO;0461/1731200;0461/1731288;collegioarcivescovile@pec.it;collegioarcivescovile@arcivescoviletrento.it;didatticatn@arcivescoviletrento.it;https://www.arcivescoviletrento.it;TNPS015002
"LICEO ""A. Rosmini"" - TRENTO";"LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE";;"A carattere statale/provinciale";"PATRIZIA VISCONTI";;;"Via Malfatti, 2 38122";TRENTO;0461/914400;0461/914498;rosmini.trento@pec.provincia.tn.it;dir.rosmini.tn@scuole.provincia.tn.it;segr.rosmini.tn@scuole.provincia.tn.it;https://www.rosmini.eu;TNPM01000X
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE";;"A carattere statale/provinciale";"PAOLO CHINCARINI";;;"Viale Dei Tigli, 43 38066";"RIVA DEL GARDA";0464/578511;0464/578555;floriani@pec.provincia.tn.it;dir.istitutofloriani@scuole.provincia.tn.it;segr.istitutofloriani@scuole.provincia.tn.it;https://www.g-floriani.it;TNTD008515
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";"ISTITUTO TECNICO PER IL SETTORE ECONOMICO";;"A carattere statale/provinciale";"RENATO PAOLI";;;"Via Durone, 53 38079";"TIONE DI TRENTO";0465/321735;0465/322811;guetti@pec.provincia.tn.it;dir.guetti@scuole.provincia.tn.it;segr.guetti@scuole.provincia.tn.it;https://www.guetti.tn.it;TNTD00701X
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";"LICEO SCIENTIFICO";;"A carattere statale/provinciale";"TIZIANA GULLI";;;"Via S Pietro, 4 38057";"PERGINE VALSUGANA";0461/511397;0461/531743;curie@pec.provincia.tn.it;dir.curie.pergine@scuole.provincia.tn.it;segr.curie.pergine@scuole.provincia.tn.it;https://www.curiepergine.it;TNPS00401L
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES";"ISTITUTO TECNICO PER IL SETTORE ECONOMICO";;"A carattere statale/provinciale";"ALFREDO ROMANTINI";;;"Via IV Novembre, 35 38023";CLES;0463/421695;0463/421477;pilati@pec.provincia.tn.it;dir.itetpilati@scuole.provincia.tn.it;segr.itetpilati@scuole.provincia.tn.it;https://www.istitutopilati.it;TNTD100001
"ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO";"LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE";;"A carattere statale/provinciale";"MARIA PRODI";;;"Via Delle Fonti - Transacqua, 10 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439/62435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;TNPS100005
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE";;"A carattere statale/provinciale";"RENATO PAOLI";;;"Via Durone, 53 38079";"TIONE DI TRENTO";0465/321735;0465/322811;guetti@pec.provincia.tn.it;dir.guetti@scuole.provincia.tn.it;segr.guetti@scuole.provincia.tn.it;https://www.guetti.tn.it;TNTD007519
"LICEO SCIENTIFICO ""G. Galilei"" - TRENTO";"LICEO SCIENTIFICO";;"A carattere statale/provinciale";"ELENA RUGGIERI";;;"Viale Bolognini, 88 38122";TRENTO;0461/913479;0461/913367;galilei@pec.provincia.tn.it;dir.liceogalilei@scuole.provincia.tn.it;segr.liceogalilei@scuole.provincia.tn.it;https://www.lsgalilei.org/;TNPS01000V
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";"ISTITUTO TECNICO PER IL SETTORE ECONOMICO - LEVICO";;"A carattere statale/provinciale";"TIZIANA GULLI";;;"Viale Vittorio Emanuele, 5 38056";"LEVICO TERME";0461/706012;0461/531743;curie@pec.provincia.tn.it;dir.curie.pergine@scuole.provincia.tn.it;segr.curie.pergine@scuole.provincia.tn.it;https://www.curiepergine.it;TNRC004015
"LICEO CLASSICO ""G. Prati"" - TRENTO";"LICEO CLASSICO";;"A carattere statale/provinciale";"PAOLA BARATTER";;;"Via S Trinita, 38 38122";TRENTO;0461/980190;0461/980747;prati@pec.provincia.tn.it;dir.liceoprati@scuole.provincia.tn.it;segr.liceoprati@scuole.provincia.tn.it;https://www.liceoprati.it;TNPC04000G
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE - PREDAZZO";;"A carattere statale/provinciale";"MARCO FELICETTI";;;"Corso Degasperi, 14 38037";PREDAZZO;0462/341449;0462/248071;weisserose@pec.provincia.tn.it;dir.iicavalese@scuole.provincia.tn.it;segr.iicavalese@scuole.provincia.tn.it;https://www.scuolefiemme.tn.it;TNTD001509
"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE";;"A carattere statale/provinciale";"ALFREDO ROMANTINI";;;"Via IV Novembre, 35 38023";CLES;0463/421695;0463/421477;pilati@pec.provincia.tn.it;dir.itetpilati@scuole.provincia.tn.it;segr.itetpilati@scuole.provincia.tn.it;https://www.istitutopilati.it;TNTD10050A
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";"LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE";;"A carattere statale/provinciale";"RENATO PAOLI";;;"Via Durone, 53 38079";"TIONE DI TRENTO";0465/321735;0465/322811;guetti@pec.provincia.tn.it;dir.guetti@scuole.provincia.tn.it;segr.guetti@scuole.provincia.tn.it;https://www.guetti.tn.it;TNPS007014
"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA";"LICEO LINGUISTICO";;"A carattere statale/provinciale";"TIZIANA GULLI";;;"Via S Pietro, 4 38057";"PERGINE VALSUGANA";0461/511397;0461/531743;curie@pec.provincia.tn.it;dir.curie.pergine@scuole.provincia.tn.it;segr.curie.pergine@scuole.provincia.tn.it;https://www.curiepergine.it;TNPS00401L
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";"LICEO DELLE SCIENZE UMANE";;"A carattere statale/provinciale";"MARCO FELICETTI";;;"Via Gandhi, 1 38033";CAVALESE;0462/341449;0462/248071;weisserose@pec.provincia.tn.it;dir.iicavalese@scuole.provincia.tn.it;segr.iicavalese@scuole.provincia.tn.it;https://www.scuolefiemme.tn.it;TNPS001015
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";"LICEO LINGUISTICO";;"A carattere statale/provinciale";"MARCO FELICETTI";;;"Via Gandhi, 1 38033";CAVALESE;0462/341449;0462/248071;weisserose@pec.provincia.tn.it;dir.iicavalese@scuole.provincia.tn.it;segr.iicavalese@scuole.provincia.tn.it;https://www.scuolefiemme.tn.it;TNPS001015
"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO";"ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE";;"A carattere statale/provinciale";"RENATO PAOLI";;;"Via Durone, 53 38079";"TIONE DI TRENTO";0465/321735;0465/322811;guetti@pec.provincia.tn.it;dir.guetti@scuole.provincia.tn.it;segr.guetti@scuole.provincia.tn.it;https://www.guetti.tn.it;TNTD007519
"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO";"ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE";;"A carattere statale/provinciale";"VALENTINA ZANOLLA";;;"Via Perlasca, 4 38017";MEZZOLOMBARDO;0461/601122;0461/601470;martini@pec.provincia.tn.it;dir.martini.mezzolombardo@scuole.provincia.tn.it;segr.martini.mezzolombardo@scuole.provincia.tn.it;https://www.martinomartini.eu;TNRC00350N
