"Istituto Principale";Scuola;"Tipo Istituto";"Tipo Gestione";Dirigente;Direttore;"Coordinatore Pedagogico";Indirizzo;Comune;Telefono;Fax;"Email istituto";"Email dirigenza";"Email segreteria";"Sito web";"Codice MIUR"
"Centro Formazione Professionale ENAIP - Varone di Riva del Garda";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"ELISABETTA FILIPPI";;"Rione Europa, 3 38066";"RIVA DEL GARDA";0464/521300;0464/521553;cfp.rivadelgarda@pec.it;;cfp.rivadelgarda@enaip.tn.it;https://rivadelgarda.enaiptrentino.it/;TNCF007001
"Centro Formazione Professionale UPT - Cles";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"WALTER IORI";;"Via D Agostin, 2 38023";CLES;0463/422820;0463/424409;cfp-upt@pec.it;;segreteria.cles@cfp-upt.it;https://www.cfp-upt.it;
"Centro Formazione Professionale ENAIP - Villazzano";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"Paola Coccia";;"Via Asiago, 14 38123";TRENTO;0461/920386;0461/914935;cfp.villazzano@pec.it;;cfp.villazzano@enaip.tn.it;https://villazzano.enaiptrentino.it/;TNCF008001
"Centro Formazione Professionale ENAIP - Tione di Trento";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"Ketty Pellizzari";;"Via Durone, 57 38079";"TIONE DI TRENTO";0465/321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;https://tione.enaiptrentino.it/;TNCF001001
"FONDAZIONE EDMUND MACH - ISTITUTO AGRARIO SAN MICHELE ALL'ADIGE";;"Istituzione scolastica e formativa";Paritaria/equiparata;"MANUEL PENASA";"CLAUDIA BISOGNIN";;"Via Mach, 1 38098";"SAN MICHELE ALL'ADIGE";0461/615213;0461/615273;amministrazione.cif@pec.iasma.it;;segreteria.scuola@fmach.it;https://www.fmach.it;
"Centro Formazione Professionale ENAIP - Tione di Trento";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"Ketty Pellizzari";;"Via Durone, 57 38079";"TIONE DI TRENTO";0465/321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;https://tione.enaiptrentino.it/;TNCF001001
"Centro Formazione Professionale ENAIP - Cles";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"Luca Branz";;"Via Mitterer, 10 38023";CLES;0463/421362;0463/421606;cfp.cles@pec.it;;cfp.cles@enaip.tn.it;https://cles.enaiptrentino.it/;
"SOCIETA' COOPERATIVA A R.L. ""I. DE CARNERI"" OXFORD CIVEZZANO";;"Istituzione scolastica e formativa";Paritaria/equiparata;"GIOVANNI SCALFI";"CLAUDIO MARCH";;"Via Murialdo, 30 38045";CIVEZZANO;0461/857003;0461/857284;oxford@pec.cooperazionetrentina.it;;info@istitutodecarneri.it;https://www.istitutodecarneri.it;
"Centro Formazione Professionale UPT - Trento";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"WALTER IORI";;"Via Borsieri, 2 38122";TRENTO;0461/239997;0461/260235;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;TNCF003001
"Centro Formazione Professionale UPT - Trento";"SETTORE SERVIZI";;Paritaria/equiparata;;"WALTER IORI";;"Via Borsieri, 2 38122";TRENTO;0461/239997;0461/260235;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;TNCF003001
"Istituto di Formazione Professionale Alberghiero ""Giuseppe Cipriani""- Levico";"SETTORE INDUSTRIA E ARTIGIANATO";;"A carattere statale/provinciale";"LUCIA RUSSO";;;"Via Ziehl, 5 38056";"LEVICO TERME";0461/706294;0461/702025;ifpa.levicoterme@pec.provincia.tn.it;dir.ifpa.levicoterme@scuole.provincia.tn.it;segr.ifpa.levicoterme@scuole.provincia.tn.it;https://www.alberghierolevico.it;TNCF010001
"Centro Formazione Professionale Opera Armida Barelli - Rovereto";;"Istituzione scolastica e formativa";Paritaria/equiparata;"BERNARDO ZANONER";"CAMILLA CESTARI";;"Via Setaioli, 5 38068";ROVERETO;0464/433771;0464/431711;cfprovereto@pec.operaarmidabarelli.org;;cfprovereto@operaarmidabarelli.org;https://www.operaarmidabarelli.org;TNCF005001
"Istituto di Formazione Professionale Alberghiero - Rovereto";"SETTORE INDUSTRIA E ARTIGIANATO";;"A carattere statale/provinciale";"VITO ROVIGO";;;"Viale Dei Colli, 17 38068";ROVERETO;0464/439164;0464/435851;ifpa.rovereto@pec.provincia.tn.it;dir.ifpa.rovereto@scuole.provincia.tn.it;segr.ifpa.rovereto@scuole.provincia.tn.it;https://www.alberghierorovereto.it;TNCF011001
"Centro Formazione Professionale Opera Armida Barelli - Levico";;"Istituzione scolastica e formativa";Paritaria/equiparata;"BERNARDO ZANONER";"MICHELE LINARDI";;"Viale Roma, 61 38056";"LEVICO TERME";0461/706145;0461/701940;cfplevico@pec.operaarmidabarelli.org;;cfplevico@operaarmidabarelli.org;https://www.operaarmidabarelli.org;
"Istituto di Formazione Professionale Servizi alla Persona e Legno ""S. Pertini"" ";"SETTORE INDUSTRIA E ARTIGIANATO SERALE";;"A carattere statale/provinciale";"MARIA RITA MAGISTRO";"MARIA RITA MAGISTRO";;"Via Asiago, 14 38123";TRENTO;0461/933147;0461/931682;ifp.trento@pec.provincia.tn.it;ifp.trento@scuole.provincia.tn.it;ifp.trento@scuole.provincia.tn.it;https://ifpsandropertinitrento.it;
"Istituto di Formazione Professionale Servizi alla Persona e Legno ""S. Pertini"" ";"SETTORE SERVIZI SERALE";;"A carattere statale/provinciale";"MARIA RITA MAGISTRO";"MARIA RITA MAGISTRO";;"Viale Verona, 141 38123";TRENTO;0461/933147;0461/931682;ifp.trento@pec.provincia.tn.it;ifp.trento@scuole.provincia.tn.it;ifp.trento@scuole.provincia.tn.it;https://ifpsandropertinitrento.it;
"Istituto di Formazione Professionale Servizi alla Persona e Legno ""S. Pertini"" ";"SETTORE INDUSTRIA E ARTIGIANATO";;"A carattere statale/provinciale";"MARIA RITA MAGISTRO";"MARIA RITA MAGISTRO";;"Via Asiago, 14 38123";TRENTO;0461/933147;0461/931682;ifp.trento@pec.provincia.tn.it;ifp.trento@scuole.provincia.tn.it;ifp.trento@scuole.provincia.tn.it;https://ifpsandropertinitrento.it;TNFP268STA
"Istituto di Formazione Professionale Servizi alla Persona e Legno ""S. Pertini"" ";"SETTORE SERVIZI";;"A carattere statale/provinciale";"MARIA RITA MAGISTRO";"MARIA RITA MAGISTRO";;"Viale Verona, 141 38123";TRENTO;0461/933147;0461/931682;ifp.trento@pec.provincia.tn.it;ifp.trento@scuole.provincia.tn.it;ifp.trento@scuole.provincia.tn.it;https://ifpsandropertinitrento.it;TNCF012001
"Centro Formazione Professionale ENAIP - Tesero";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"Dino Moser";;"Via Caltrezza, 13 38038";TESERO;0462/813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;https://tesero.enaiptrentino.it/;
"Centro Formazione Professionale UPT - Rovereto";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"PAOLO ZANLUCCHI";;"Via Pasqui, 10 38068";ROVERETO;0464/630050;;cfp-upt@pec.it;;segreteria.rovereto@cfp-upt.it;https://www.cfp-upt.it;
"Centro Formazione Professionale ENAIP - Primiero";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"Fausto Eccher";;"Via Forno - Transacqua, 12 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439/762057;0439/762833;cfp.primiero@pec.it;;cfp.primiero@enaip.tn.it;https://primiero.enaiptrentino.it/;
"Centro Formazione Professionale UPT - Rovereto";"SETTORE SERVIZI";;Paritaria/equiparata;;"PAOLO ZANLUCCHI";;"Via Pasqui, 10 38068";ROVERETO;0464/630050;;cfp-upt@pec.it;;segreteria.rovereto@cfp-upt.it;https://www.cfp-upt.it;TNFP000001
"Centro Formazione Professionale UPT - Tione di Trento";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"MAURIZIO CADONNA ";;"Via Roma, 15 38079";"TIONE DI TRENTO";0465/321889;0465/324518;cfp-upt@pec.it;;segreteria.tione@cfp-upt.it;https://www.cfp-upt.it;
"Polo Giuseppe Veronesi";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"LAURA SCALFI";;"Piazzale Orsi, 1 38068";ROVERETO;0464/433484;0464/436873;iscrizioni.veronesi@pec.it;;segreteria.dir@cfpgveronesi.it;https://www.poloveronesi.it/;TNCF002001
"Istituto di Formazione Professionale Alberghiero ""Giuseppe Cipriani""- Levico";"SETTORE SERVIZI SERALE";;"A carattere statale/provinciale";"LUCIA RUSSO";"TARGA WALTER";;"Via Ziehl, 5 38056";"LEVICO TERME";0461/706294;0461/702025;ifpa.levicoterme@pec.provincia.tn.it;dir.ifpa.levicoterme@scuole.provincia.tn.it;segr.ifpa.levicoterme@scuole.provincia.tn.it;https://www.alberghierolevico.it;
"Istituto di Formazione Professionale Alberghiero - Rovereto";"SETTORE SERVIZI SERALE";;"A carattere statale/provinciale";"VITO ROVIGO";"CAZZANI DANIELA";;"Viale Dei Colli, 17 38068";ROVERETO;0464/439164;0464/435851;ifpa.rovereto@pec.provincia.tn.it;dir.ifpa.rovereto@scuole.provincia.tn.it;segr.ifpa.rovereto@scuole.provincia.tn.it;https://www.alberghierorovereto.it;
"Centro Formazione Professionale Pavoniano Artigianelli - Trento";;"Istituzione scolastica e formativa";Paritaria/equiparata;"ERIK GADOTTI";;;"Piazza Di Fiera, 4 38122";TRENTO;0461/270244;0461/270241;scuolagrafica@pec.artigianelli.tn.it;;scuolagrafica@artigianelli.tn.it;http://www.artigianelli.tn.it/;TNCF004001
"Centro Formazione Professionale ENAIP - Ossana";"SETTORE SERVIZI";;Paritaria/equiparata;;"Claudia Gosetti";;"Via Di S Antonio - Ossana, 1 38026";OSSANA;0463/751102;0463/751987;cfp.ossana@pec.it;;cfp.ossana@enaip.tn.it;https://ossana.enaiptrentino.it/;TNFP252STA
"Centro Formazione Professionale ENAIP - Ossana";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"Claudia Gosetti";;"Via Di S Antonio - Ossana, 1 38026";OSSANA;0463/751102;0463/751987;cfp.ossana@pec.it;;cfp.ossana@enaip.tn.it;https://ossana.enaiptrentino.it/;
"Polo Giuseppe Veronesi";"SETTORE INDUSTRIA E ARTIGIANATO SERALE";;Paritaria/equiparata;;"LAURA SCALFI";;"Piazzale Orsi, 1 38068";ROVERETO;0464/433484;0464/436873;iscrizioni.veronesi@pec.it;;segreteria.dir@cfpgveronesi.it;https://www.poloveronesi.it/;
"Centro Formazione Professionale UPT - Trento";"SETTORE SERVIZI SERALE";;Paritaria/equiparata;;"WALTER IORI";;"Via Borsieri, 2 38122";TRENTO;0461/239997;0461/260235;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;
"Istituto di Formazione Professionale Alberghiero - Rovereto";"SETTORE SERVIZI";;"A carattere statale/provinciale";"VITO ROVIGO";"CAZZANI DANIELA";;"Viale Dei Colli, 17 38068";ROVERETO;0464/439164;0464/435851;ifpa.rovereto@pec.provincia.tn.it;dir.ifpa.rovereto@scuole.provincia.tn.it;segr.ifpa.rovereto@scuole.provincia.tn.it;https://www.alberghierorovereto.it;TNCF011001
"Centro Formazione Professionale ENAIP - Varone di Riva del Garda";"SETTORE SERVIZI";;Paritaria/equiparata;;"ELISABETTA FILIPPI";;"Rione Europa, 3 38066";"RIVA DEL GARDA";0464/521300;0464/521553;cfp.rivadelgarda@pec.it;;cfp.rivadelgarda@enaip.tn.it;https://rivadelgarda.enaiptrentino.it/;TNCF007001
"Centro Formazione Professionale ENAIP - Tione di Trento";"SETTORE SERVIZI";;Paritaria/equiparata;;"Ketty Pellizzari";;"Via Durone, 57 38079";"TIONE DI TRENTO";0465/321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;https://tione.enaiptrentino.it/;TNCF001001
"Centro Formazione Professionale ""Centromoda Canossa"" ";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"Michele Filippini";;"Via Grazioli, 2 38122";TRENTO;0461/260454;0461/267864;canossatrento@pec.it;direzione@centromoda.tn.it;didattica@centromoda.tn.it;https://www.centromoda.tn.it;
"LICEO ""A. Rosmini"" - TRENTO";"CC EDUCAZIONE ADULTI ALBERGHIERO";;"A carattere statale/provinciale";"PATRIZIA VISCONTI";;;"Via Malfatti, 2 38122";TRENTO;0461/914400;0461/914498;rosmini.trento@pec.provincia.tn.it;dir.rosmini.tn@scuole.provincia.tn.it;segr.rosmini.tn@scuole.provincia.tn.it;https://www.rosmini.eu;
"Centro Formazione Professionale Opera Armida Barelli - Rovereto";"SETTORE SERVIZI";;Paritaria/equiparata;"BERNARDO ZANONER";"CAMILLA CESTARI";;"Via Setaioli, 5 38068";ROVERETO;0464/433771;0464/431711;cfprovereto@pec.operaarmidabarelli.org;;cfprovereto@operaarmidabarelli.org;https://www.operaarmidabarelli.org;TNCF005001
"FONDAZIONE EDMUND MACH - ISTITUTO AGRARIO SAN MICHELE ALL'ADIGE";"SETTORE AGRICOLTURA E AMBIENTE";;Paritaria/equiparata;"MANUEL PENASA";"CLAUDIA BISOGNIN";;"Via Mach, 1 38098";"SAN MICHELE ALL'ADIGE";0461/615213;0461/615273;amministrazione.cif@pec.iasma.it;;segreteria.scuola@fmach.it;https://www.fmach.it;TNCF006001
"Centro Formazione Professionale Pavoniano Artigianelli - Trento";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;"ERIK GADOTTI";;;"Piazza Di Fiera, 4 38122";TRENTO;0461/270244;0461/270241;scuolagrafica@pec.artigianelli.tn.it;;scuolagrafica@artigianelli.tn.it;http://www.artigianelli.tn.it/;TNCF004001
"Centro Formazione Professionale ""Centromoda Canossa"" ";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"Michele Filippini";;"Via Grazioli, 2 38122";TRENTO;0461/260454;0461/267864;canossatrento@pec.it;direzione@centromoda.tn.it;didattica@centromoda.tn.it;https://www.centromoda.tn.it;TNCF009001
"Centro Formazione Professionale UPT - Arco";"SETTORE SERVIZI";;Paritaria/equiparata;;"CLAUDIO NICOLUSSI";;"Via Gazzoletti - Mogno, 10 38062";ARCO;0464/556585;0464/556599;cfp-upt@pec.it;;segreteria.arco@cfp-upt.it;https://www.cfpupt.it/sede-di-arco;TNFP261STA
"Centro Formazione Professionale ENAIP - Arco";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"Diego Freo";;"Via Gazzoletti - Mogno, 8 38062";ARCO;0464/516465;0464/516497;cfp.arco@pec.it;;cfp.arco@enaip.tn.it;https://arco.enaiptrentino.it;TNFP249STA
"Centro Formazione Professionale ENAIP - Arco";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"Diego Freo";;"Via Gazzoletti - Mogno, 8 38062";ARCO;0464/516465;0464/516497;cfp.arco@pec.it;;cfp.arco@enaip.tn.it;https://arco.enaiptrentino.it;
"Centro Formazione Professionale UPT - Arco";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"CLAUDIO NICOLUSSI";;"Via Gazzoletti - Mogno, 10 38062";ARCO;0464/556585;0464/556599;cfp-upt@pec.it;;segreteria.arco@cfp-upt.it;https://www.cfpupt.it/sede-di-arco;
"Centro Formazione Professionale ENAIP - Villazzano";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"Paola Coccia";;"Via Asiago, 14 38123";TRENTO;0461/920386;0461/914935;cfp.villazzano@pec.it;;cfp.villazzano@enaip.tn.it;https://villazzano.enaiptrentino.it/;TNCF008001
"Polo Giuseppe Veronesi";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"LAURA SCALFI";;"Piazzale Orsi, 1 38068";ROVERETO;0464/433484;0464/436873;iscrizioni.veronesi@pec.it;;segreteria.dir@cfpgveronesi.it;https://www.poloveronesi.it/;TNCF002001
"Istituto di Formazione Professionale Alberghiero - Rovereto";;"Istituzione scolastica e formativa";"A carattere statale/provinciale";"VITO ROVIGO";;;"Viale Dei Colli, 17 38068";ROVERETO;0464/439164;0464/435851;ifpa.rovereto@pec.provincia.tn.it;dir.ifpa.rovereto@scuole.provincia.tn.it;segr.ifpa.rovereto@scuole.provincia.tn.it;https://www.alberghierorovereto.it;TNCF011001
"Istituto di Formazione Professionale Alberghiero ""Giuseppe Cipriani""- Levico";;"Istituzione scolastica e formativa";"A carattere statale/provinciale";"LUCIA RUSSO";;;"Via Ziehl, 5 38056";"LEVICO TERME";0461/706294;0461/702025;ifpa.levicoterme@pec.provincia.tn.it;dir.ifpa.levicoterme@scuole.provincia.tn.it;segr.ifpa.levicoterme@scuole.provincia.tn.it;https://www.alberghierolevico.it;TNCF010001
"Centro Formazione Professionale ENAIP - Borgo Valsugana";"SETTORE INDUSTRIA E ARTIGIANATO";;Paritaria/equiparata;;"Francesco Micheletti";;"Via Giamaolle, 15 38051";"BORGO VALSUGANA";0461/753037;0461/752070;cfp.borgo@pec.it;;cfp.borgo@enaip.tn.it;https://borgo.enaiptrentino.it/;TNFP250STA
"Centro Formazione Professionale UPT - Borgo Valsugana";"SETTORE SERVIZI";;Paritaria/equiparata;;"CLAUDIA MAMMANI";;"Via Del Mercato, 9/A 38051";"BORGO VALSUGANA";0461/1830221;0461/233877;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;TNFP273STA
"Istituto di Formazione Professionale Alberghiero ""Giuseppe Cipriani""- Levico";"SETTORE SERVIZI";;"A carattere statale/provinciale";"LUCIA RUSSO";"TARGA WALTER";;"Via Ziehl, 5 38056";"LEVICO TERME";0461/706294;0461/702025;ifpa.levicoterme@pec.provincia.tn.it;dir.ifpa.levicoterme@scuole.provincia.tn.it;segr.ifpa.levicoterme@scuole.provincia.tn.it;https://www.alberghierolevico.it;TNCF010001
"Centro Formazione Professionale UPT - Borgo Valsugana";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"CLAUDIA MAMMANI";;"Via Del Mercato, 9/A 38051";"BORGO VALSUGANA";0461/1830221;0461/233877;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;
"Istituto di Formazione Professionale Servizi alla Persona e Legno ""S. Pertini"" ";;"Istituzione scolastica e formativa";"A carattere statale/provinciale";"MARIA RITA MAGISTRO";"MARIA RITA MAGISTRO";;"Viale Verona, 141 38123";TRENTO;0461/933147;0461/931682;ifp.trento@pec.provincia.tn.it;ifp.trento@scuole.provincia.tn.it;ifp.trento@scuole.provincia.tn.it;https://ifpsandropertinitrento.it;TNCF012001
"Centro Formazione Professionale ENAIP - Borgo Valsugana";;"Istituzione scolastica e formativa";Paritaria/equiparata;;"Francesco Micheletti";;"Via Giamaolle, 15 38051";"BORGO VALSUGANA";0461/753037;0461/752070;cfp.borgo@pec.it;;cfp.borgo@enaip.tn.it;https://borgo.enaiptrentino.it/;
