comune;provincia autonoma;popolazione;superficie;densità;altitudine;link;codice postale;istat;sito;comuni confinanti;lat;lon;lat_n;lon_n
campitello di fassa;trento;700;2502;28;1448;https://it.wikipedia.org/wiki/Campitello_di_Fassa;38031;22036;http://www.comune.campitellodifassa.tn.it;https://it.wikipedia.org/wiki/Canazei|https://it.wikipedia.org/wiki/Mazzin;46°28′34.2″N;11°44′29.49″E;46.47616666666667;11.741525
campodenno;trento;1509;2422;62;534;https://it.wikipedia.org/wiki/Campodenno;38010;22037;http://www.comunecampodenno.it;https://it.wikipedia.org/wiki/Denno|https://it.wikipedia.org/wiki/Spormaggiore|https://it.wikipedia.org/wiki/Sporminore|https://it.wikipedia.org/wiki/Ton|https://it.wikipedia.org/wiki/Ville_d%27Anaunia|https://it.wikipedia.org/wiki/Cont%C3%A0;46°15′N;11°02′E;46.25;11.033333333333333
canal san bovo;trento;1462;12513;12;757;https://it.wikipedia.org/wiki/Canal_San_Bovo;38050;22038;https://www.comune.canalsanbovo.tn.it/;https://it.wikipedia.org/wiki/Castello_Tesino|https://it.wikipedia.org/wiki/Cinte_Tesino|https://it.wikipedia.org/wiki/Imer|https://it.wikipedia.org/wiki/Mezzano_(comune)|https://it.wikipedia.org/wiki/Pieve_Tesino|https://it.wikipedia.org/wiki/Predazzo|https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza|https://it.wikipedia.org/wiki/Ziano_di_Fiemme;46°09′23″N;11°44′01″E;46.156388888888884;11.73361111111111
canazei;trento;1832;6705;27;1465;https://it.wikipedia.org/wiki/Canazei;38032;22039;https://www.comune.canazei.tn.it/;https://it.wikipedia.org/wiki/Campitello_di_Fassa|https://it.wikipedia.org/wiki/Mazzin|https://it.wikipedia.org/wiki/San_Giovanni_di_Fassa;46°28′36.77″N;11°46′15.87″E;46.47688055555556;11.771075000000002
capriana;trento;595;1285;46;1007;https://it.wikipedia.org/wiki/Capriana;38030;22040;http://www.comunecapriana.com/;https://it.wikipedia.org/wiki/Altavalle|https://it.wikipedia.org/wiki/Castello-Molina_di_Fiemme|https://it.wikipedia.org/wiki/Sover|https://it.wikipedia.org/wiki/Valfloriana;46°16′N;11°20′E;46.266666666666666;11.333333333333334
carisolo;trento;921;2549;36;808;https://it.wikipedia.org/wiki/Carisolo;38080;22042;https://www.comune.carisolo.tn.it/;https://it.wikipedia.org/wiki/Caderzone_Terme|https://it.wikipedia.org/wiki/Giustino_(Italia)|https://it.wikipedia.org/wiki/Ossana|https://it.wikipedia.org/wiki/Pinzolo|https://it.wikipedia.org/wiki/Vermiglio_(Italia);46°10′08.76″N;10°45′49.57″E;46.1691;10.763769444444444
carzano;trento;510;175;291;433;https://it.wikipedia.org/wiki/Carzano;38050;22043;http://www.comune.carzano.tn.it;https://it.wikipedia.org/wiki/Castelnuovo_(Trentino-Alto_Adige)|https://it.wikipedia.org/wiki/Scurelle|https://it.wikipedia.org/wiki/Telve;46°04′15.28″N;11°29′37.64″E;46.070911111111116;11.493788888888888
castel condino;trento;225;1092;21;811;https://it.wikipedia.org/wiki/Castel_Condino;38082;22045;http://www.comune.castelcondino.tn.it;https://it.wikipedia.org/wiki/Borgo_Chiese|https://it.wikipedia.org/wiki/Pieve_di_Bono-Prezzo|https://it.wikipedia.org/wiki/Valdaone;45°55′N;10°36′E;45.916666666666664;10.6
castel ivano;trento;3268;3511;93;506;https://it.wikipedia.org/wiki/Castel_Ivano_(comune);38059;22240;https://www.comune.castel-ivano.tn.it/;https://it.wikipedia.org/wiki/Bieno|https://it.wikipedia.org/wiki/Castelnuovo_(Trentino-Alto_Adige)|https://it.wikipedia.org/wiki/Ospedaletto|https://it.wikipedia.org/wiki/Pieve_Tesino|https://it.wikipedia.org/wiki/Samone_(Trentino-Alto_Adige)|https://it.wikipedia.org/wiki/Scurelle;46°03′58.9″N;11°31′24.85″E;46.06636111111111;11.523569444444446
castello tesino;trento;1158;11227;10;871;https://it.wikipedia.org/wiki/Castello_Tesino;38053;22048;https://www.comune.castello-tesino.tn.it/;https://it.wikipedia.org/wiki/Canal_San_Bovo|https://it.wikipedia.org/wiki/Cinte_Tesino|https://it.wikipedia.org/wiki/Grigno|https://it.wikipedia.org/wiki/Pieve_Tesino|https://it.wikipedia.org/wiki/Scurelle;46°03′48.35″N;11°37′59.92″E;46.063430555555556;11.633311111111112
castello-molina di fiemme;trento;2319;5481;42;1005;https://it.wikipedia.org/wiki/Castello-Molina_di_Fiemme;38030;22047;https://www.comune.castellomolina.tn.it/;https://it.wikipedia.org/wiki/Capriana|https://it.wikipedia.org/wiki/Cavalese|https://it.wikipedia.org/wiki/Pieve_Tesino|https://it.wikipedia.org/wiki/Telve|https://it.wikipedia.org/wiki/Valfloriana|https://it.wikipedia.org/wiki/Ville_di_Fiemme;46°16′19.49″N;11°25′01.92″E;46.272080555555554;11.4172
castelnuovo;trento;1086;1334;81;348;https://it.wikipedia.org/wiki/Castelnuovo_(Trentino-Alto_Adige);38050;22049;http://www.comune.castelnuovo.tn.it;https://it.wikipedia.org/wiki/Borgo_Valsugana|https://it.wikipedia.org/wiki/Carzano|https://it.wikipedia.org/wiki/Scurelle|https://it.wikipedia.org/wiki/Telve;46°03′06.91″N;11°29′39.16″E;46.051919444444444;11.49421111111111
cavalese;trento;3987;4517;88;1000;https://it.wikipedia.org/wiki/Cavalese;38033;22050;http://www.comunecavalese.it;https://it.wikipedia.org/wiki/Castello-Molina_di_Fiemme|https://it.wikipedia.org/wiki/Pieve_Tesino|https://it.wikipedia.org/wiki/Tesero|https://it.wikipedia.org/wiki/Ville_di_Fiemme;46°17′28″N;11°27′38″E;46.29111111111111;11.460555555555555
cavareno;trento;1123;929;121;973;https://it.wikipedia.org/wiki/Cavareno;38011;22051;https://www.comune.cavareno.tn.it/;https://it.wikipedia.org/wiki/Amblar-Don|https://it.wikipedia.org/wiki/Romeno_(Italia)|https://it.wikipedia.org/wiki/Ruffr%C3%A9-Mendola|https://it.wikipedia.org/wiki/Sarnonico;46°24′30.28″N;11°08′17.06″E;46.40841111111111;11.138072222222222
cavedago;trento;576;1002;57;864;https://it.wikipedia.org/wiki/Cavedago;38010;22052;https://www.comune.cavedago.tn.it/;https://it.wikipedia.org/wiki/Andalo|https://it.wikipedia.org/wiki/Fai_della_Paganella|https://it.wikipedia.org/wiki/Molveno|https://it.wikipedia.org/wiki/Spormaggiore;46°11′N;11°02′E;46.18333333333333;11.033333333333333
cavedine;trento;3073;3789;81;504;https://it.wikipedia.org/wiki/Cavedine;38073;22053;http://www.comune.cavedine.tn.it;https://it.wikipedia.org/wiki/Cimone_(comune)|https://it.wikipedia.org/wiki/Drena|https://it.wikipedia.org/wiki/Dro|https://it.wikipedia.org/wiki/Madruzzo_(Italia)|https://it.wikipedia.org/wiki/Trento|https://it.wikipedia.org/wiki/Villa_Lagarina;46°00′N;10°58′E;46.0;10.966666666666667
cavizzana;trento;234;338;69;710;https://it.wikipedia.org/wiki/Cavizzana;38022;22054;http://www.comune-cavizzana.it;https://it.wikipedia.org/wiki/Caldes|https://it.wikipedia.org/wiki/Cles;46°22′03″N;10°57′28.52″E;46.3675;10.957922222222221
cembra lisignago;trento;2346;2391;98;667;https://it.wikipedia.org/wiki/Cembra_Lisignago;38034;22241;http://www.comune.cembralisignago.tn.it/;https://it.wikipedia.org/wiki/Altavalle|https://it.wikipedia.org/wiki/Giovo|https://it.wikipedia.org/wiki/Lona-Lases|https://it.wikipedia.org/wiki/Segonzano;46°11′N;11°13′E;46.18333333333333;11.216666666666667
cimone;trento;729;995;73;530;https://it.wikipedia.org/wiki/Cimone_(comune);38060;22058;http://www.comune.cimone.tn.it;https://it.wikipedia.org/wiki/Aldeno|https://it.wikipedia.org/wiki/Cavedine|https://it.wikipedia.org/wiki/Garniga_Terme|https://it.wikipedia.org/wiki/Pomarolo|https://it.wikipedia.org/wiki/Trento|https://it.wikipedia.org/wiki/Villa_Lagarina;45°58′44.47″N;11°04′11.64″E;45.97901944444445;11.0699
cinte tesino;trento;357;3087;12;851;https://it.wikipedia.org/wiki/Cinte_Tesino;38050;22059;https://www.comune.cintetesino.tn.it/;https://it.wikipedia.org/wiki/Canal_San_Bovo|https://it.wikipedia.org/wiki/Castello_Tesino|https://it.wikipedia.org/wiki/Grigno|https://it.wikipedia.org/wiki/Ospedaletto|https://it.wikipedia.org/wiki/Pieve_Tesino|https://it.wikipedia.org/wiki/Scurelle;46°03′22″N;11°36′55.69″E;46.05611111111111;11.615469444444445
cis;trento;292;552;53;732;https://it.wikipedia.org/wiki/Cis_(Italia);38020;22060;http://www.comune.cis.tn.it;https://it.wikipedia.org/wiki/Bresimo|https://it.wikipedia.org/wiki/Caldes|https://it.wikipedia.org/wiki/Cles|https://it.wikipedia.org/wiki/Livo_(Trentino-Alto_Adige);46°23′58.89″N;11°00′05.71″E;46.39969166666667;11.001586111111111
civezzano;trento;4211;1556;271;469;https://it.wikipedia.org/wiki/Civezzano;38045;22061;http://www.comunecivezzano.it;https://it.wikipedia.org/wiki/Fornace_(Italia)|https://it.wikipedia.org/wiki/Pergine_Valsugana|https://it.wikipedia.org/wiki/Trento;46°06′00.53″N;11°10′53.89″E;46.100147222222226;11.18163611111111
cles;trento;7309;3962;184;658;https://it.wikipedia.org/wiki/Cles;38023;22062;https://www.comune.cles.tn.it/;https://it.wikipedia.org/wiki/Novella_(Italia)|https://it.wikipedia.org/wiki/Caldes|https://it.wikipedia.org/wiki/Cavizzana|https://it.wikipedia.org/wiki/Cis_(Italia)|https://it.wikipedia.org/wiki/Croviana|https://it.wikipedia.org/wiki/Dimaro_Folgarida|https://it.wikipedia.org/wiki/Livo_(Trentino-Alto_Adige)|https://it.wikipedia.org/wiki/Mal%C3%A9_(Italia)|https://it.wikipedia.org/wiki/Sanzeno|https://it.wikipedia.org/wiki/Terzolas|https://it.wikipedia.org/wiki/Ville_d%27Anaunia;46°22′N;11°02′E;46.36666666666667;11.033333333333333
comano terme;trento;2948;6803;43;400;https://it.wikipedia.org/wiki/Comano_Terme;38077;22228;http://www.comune.comanoterme.tn.it/;https://it.wikipedia.org/wiki/Arco_(Italia)|https://it.wikipedia.org/wiki/Bleggio_Superiore|https://it.wikipedia.org/wiki/Bocenago|https://it.wikipedia.org/wiki/Dro|https://it.wikipedia.org/wiki/Fiav%C3%A9|https://it.wikipedia.org/wiki/Giustino_(Italia)|https://it.wikipedia.org/wiki/Madruzzo_(Italia)|https://it.wikipedia.org/wiki/Massimeno|https://it.wikipedia.org/wiki/San_Lorenzo_Dorsino|https://it.wikipedia.org/wiki/Stenico|https://it.wikipedia.org/wiki/Tenno|https://it.wikipedia.org/wiki/Tione_di_Trento|https://it.wikipedia.org/wiki/Tre_Ville;46°01′00″N;10°52′00″E;46.016666666666666;10.866666666666667
commezzadura;trento;1014;2186;46;850;https://it.wikipedia.org/wiki/Commezzadura;38020;22064;http://www.comune.commezzadura.tn.it;https://it.wikipedia.org/wiki/Dimaro_Folgarida|https://it.wikipedia.org/wiki/Mal%C3%A9_(Italia)|https://it.wikipedia.org/wiki/Mezzana|https://it.wikipedia.org/wiki/Pinzolo|https://it.wikipedia.org/wiki/Rabbi_(comune);46°19′N;10°50′E;46.31666666666667;10.833333333333334
contà;trento;1409;1977;71;593;https://it.wikipedia.org/wiki/Cont%C3%A0;38093;22242;http://www.comune.conta.tn.it/;https://it.wikipedia.org/wiki/Denno|https://it.wikipedia.org/wiki/Ville_d%27Anaunia;46°17′53.3″N;11°01′36.16″E;46.298138888888886;11.026711111111112
croviana;trento;688;506;136;721;https://it.wikipedia.org/wiki/Croviana;38027;22068;http://www.comune.croviana.tn.it/;https://it.wikipedia.org/wiki/Cles|https://it.wikipedia.org/wiki/Mal%C3%A9_(Italia)|https://it.wikipedia.org/wiki/Dimaro_Folgarida;46°20′40.98″N;10°54′15.97″E;46.34471666666667;10.904436111111112
dambel;trento;405;507;80;751;https://it.wikipedia.org/wiki/Dambel;38010;22071;https://www.comune.dambel.tn.it/;https://it.wikipedia.org/wiki/Novella_(Italia)|https://it.wikipedia.org/wiki/Romeno_(Italia)|https://it.wikipedia.org/wiki/Sanzeno|https://it.wikipedia.org/wiki/Sarnonico;46°24′N;11°06′E;46.4;11.1
denno;trento;1255;1091;115;429;https://it.wikipedia.org/wiki/Denno;38010;22074;http://www.comune.denno.tn.it;https://it.wikipedia.org/wiki/Campodenno|https://it.wikipedia.org/wiki/Cont%C3%A0|https://it.wikipedia.org/wiki/Predaia|https://it.wikipedia.org/wiki/Ton|https://it.wikipedia.org/wiki/Ville_d%27Anaunia;46°17′N;11°03′E;46.28333333333333;11.05
dimaro folgarida;trento;2092;3636;58;766;https://it.wikipedia.org/wiki/Dimaro_Folgarida;38025;22233;https://www.comune.dimarofolgarida.tn.it/;https://it.wikipedia.org/wiki/Cles|https://it.wikipedia.org/wiki/Commezzadura|https://it.wikipedia.org/wiki/Croviana|https://it.wikipedia.org/wiki/Mal%C3%A9_(Italia)|https://it.wikipedia.org/wiki/Pinzolo|https://it.wikipedia.org/wiki/Ville_d%27Anaunia;46°19′33.38″N;10°52′27.76″E;46.32593888888889;10.874377777777779
drena;trento;598;800;75;398;https://it.wikipedia.org/wiki/Drena;38074;22078;http://www.comune.drena.tn.it;https://it.wikipedia.org/wiki/Arco_(Italia)|https://it.wikipedia.org/wiki/Cavedine|https://it.wikipedia.org/wiki/Dro|https://it.wikipedia.org/wiki/Villa_Lagarina;45°58′N;10°57′E;45.96666666666667;10.95
dro;trento;5061;2801;181;123;https://it.wikipedia.org/wiki/Dro;38074;22079;http://www.comunedro.it;https://it.wikipedia.org/wiki/Arco_(Italia)|https://it.wikipedia.org/wiki/Cavedine|https://it.wikipedia.org/wiki/Drena|https://it.wikipedia.org/wiki/Madruzzo_(Italia)|https://it.wikipedia.org/wiki/Comano_Terme;45°58′N;10°55′E;45.96666666666667;10.916666666666666
fai della paganella;trento;933;1234;76;957;https://it.wikipedia.org/wiki/Fai_della_Paganella;38010;22081;http://www.comune.faidellapaganella.tn.it/;https://it.wikipedia.org/wiki/Andalo|https://it.wikipedia.org/wiki/Cavedago|https://it.wikipedia.org/wiki/Mezzolombardo|https://it.wikipedia.org/wiki/Spormaggiore|https://it.wikipedia.org/wiki/Terre_d%27Adige|https://it.wikipedia.org/wiki/Vallelaghi;46°11′N;11°04′E;46.18333333333333;11.066666666666666
fiavé;trento;1052;2449;43;669;https://it.wikipedia.org/wiki/Fiav%C3%A9;38075;22083;https://www.comune.fiave.tn.it/;https://it.wikipedia.org/wiki/Comano_Terme|https://it.wikipedia.org/wiki/Bleggio_Superiore|https://it.wikipedia.org/wiki/Ledro|https://it.wikipedia.org/wiki/Tenno;46°00′16″N;10°50′32″E;46.004444444444445;10.842222222222222
fierozzo;trento;464;1799;26;1127;https://it.wikipedia.org/wiki/Fierozzo;38050;22085;http://www.comune.fierozzo.tn.it/;https://it.wikipedia.org/wiki/Frassilongo|https://it.wikipedia.org/wiki/Pal%C3%B9_del_Fersina|https://it.wikipedia.org/wiki/Roncegno_Terme|https://it.wikipedia.org/wiki/Sant%27Orsola_Terme|https://it.wikipedia.org/wiki/Torcegno;46°06′39.9″N;11°19′05.8″E;46.11108333333333;11.318277777777778
