main institute;school;school type;administration type;manager;director;educational coordinator;address;municipality;telephone;fax;institute email;management email;secretary's office email;website;miur code;vivoscuola institute link;entity
centro formazione professionale enaip - tesero;capes - settore servizi;;paritaria/equiparata;;dino moser;;via caltrezza, 13 38038;tesero;0462/813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;https://tesero.enaiptrentino.it/;tncf004007;https://www.vivoscuola.it/content/view/full/29257;school
centro formazione professionale enaip - tesero;settore industria e artigianato;;paritaria/equiparata;;dino moser;;via caltrezza, 13 38038;tesero;0462/813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;https://tesero.enaiptrentino.it/;tnfp254sta;https://www.vivoscuola.it/content/view/full/29257;school
centro formazione professionale enaip - tesero;settore servizi;;paritaria/equiparata;;dino moser;;via caltrezza, 13 38038;tesero;0462/813133;0462/813145;cfp.tesero@pec.it;;cfp.tesero@enaip.tn.it;https://tesero.enaiptrentino.it/;tnfp254sta;https://www.vivoscuola.it/content/view/full/29257;school
centro formazione professionale enaip - tione di trento;;istituzione scolastica e formativa;paritaria/equiparata;;ketty pellizzari;;via durone, 57 38079;tione di trento;0465/321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;https://tione.enaiptrentino.it/;tncf001001;https://www.vivoscuola.it/content/view/full/29260;institute
centro formazione professionale enaip - tione di trento;capes - settore industria e artigianato;;paritaria/equiparata;;ketty pellizzari;;via durone, 57 38079;tione di trento;0465/321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;https://tione.enaiptrentino.it/;tncf001001;https://www.vivoscuola.it/content/view/full/29260;school
centro formazione professionale enaip - tione di trento;capes - settore servizi;;paritaria/equiparata;;ketty pellizzari;;via durone, 57 38079;tione di trento;0465/321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;https://tione.enaiptrentino.it/;tncf001001;https://www.vivoscuola.it/content/view/full/29260;school
centro formazione professionale enaip - tione di trento;settore industria e artigianato;;paritaria/equiparata;;ketty pellizzari;;via durone, 57 38079;tione di trento;0465/321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;https://tione.enaiptrentino.it/;tncf001001;https://www.vivoscuola.it/content/view/full/29260;school
centro formazione professionale enaip - tione di trento;settore servizi;;paritaria/equiparata;;ketty pellizzari;;via durone, 57 38079;tione di trento;0465/321316;0465/322091;cfp.tione@pec.it;;cfp.tione@enaip.tn.it;https://tione.enaiptrentino.it/;tncf001001;https://www.vivoscuola.it/content/view/full/29260;school
centro formazione professionale enaip - varone di riva del garda;;istituzione scolastica e formativa;paritaria/equiparata;;elisabetta filippi;;rione europa, 3 38066;riva del garda;0464/521300;0464/521553;cfp.rivadelgarda@pec.it;;cfp.rivadelgarda@enaip.tn.it;https://rivadelgarda.enaiptrentino.it/;tncf007001;https://www.vivoscuola.it/content/view/full/29263;institute
centro formazione professionale enaip - varone di riva del garda;capes - settore servizi;;paritaria/equiparata;;elisabetta filippi;;rione europa, 3 38066;riva del garda;0464/521300;0464/521553;cfp.rivadelgarda@pec.it;;cfp.rivadelgarda@enaip.tn.it;https://rivadelgarda.enaiptrentino.it/;tncf007001;https://www.vivoscuola.it/content/view/full/29263;school
centro formazione professionale enaip - varone di riva del garda;settore servizi;;paritaria/equiparata;;elisabetta filippi;;rione europa, 3 38066;riva del garda;0464/521300;0464/521553;cfp.rivadelgarda@pec.it;;cfp.rivadelgarda@enaip.tn.it;https://rivadelgarda.enaiptrentino.it/;tncf007001;https://www.vivoscuola.it/content/view/full/29263;school
centro formazione professionale enaip - villazzano;;istituzione scolastica e formativa;paritaria/equiparata;;paola coccia;;via asiago, 14 38123;trento;0461/920386;0461/914935;cfp.villazzano@pec.it;;cfp.villazzano@enaip.tn.it;https://villazzano.enaiptrentino.it/;tncf008001;https://www.vivoscuola.it/content/view/full/29265;institute
centro formazione professionale enaip - villazzano;capes - settore industria e artigianato;;paritaria/equiparata;;paola coccia;;via asiago, 14 38123;trento;0461/920386;0461/914935;cfp.villazzano@pec.it;;cfp.villazzano@enaip.tn.it;https://villazzano.enaiptrentino.it/;tncf008001;https://www.vivoscuola.it/content/view/full/29265;school
centro formazione professionale enaip - villazzano;settore industria e artigianato;;paritaria/equiparata;;paola coccia;;via asiago, 14 38123;trento;0461/920386;0461/914935;cfp.villazzano@pec.it;;cfp.villazzano@enaip.tn.it;https://villazzano.enaiptrentino.it/;tncf008001;https://www.vivoscuola.it/content/view/full/29265;school
centro formazione professionale enaip - villazzano;settore industria e artigianato serale;;paritaria/equiparata;;paola coccia;;via asiago, 14 38123;trento;0461/920386;0461/914935;cfp.villazzano@pec.it;;cfp.villazzano@enaip.tn.it;https://villazzano.enaiptrentino.it/;;https://www.vivoscuola.it/content/view/full/29265;school
centro formazione professionale opera armida barelli - levico;;istituzione scolastica e formativa;paritaria/equiparata;bernardo zanoner;michele linardi;;viale roma, 61 38056;levico terme;0461/706145;0461/701940;cfplevico@pec.operaarmidabarelli.org;;cfplevico@operaarmidabarelli.org;https://www.operaarmidabarelli.org;;https://www.vivoscuola.it/content/view/full/29268;institute
centro formazione professionale opera armida barelli - levico;settore servizi;;paritaria/equiparata;bernardo zanoner;michele linardi;;viale roma, 61 38056;levico terme;0461/706145;0461/701940;cfplevico@pec.operaarmidabarelli.org;;cfplevico@operaarmidabarelli.org;https://www.operaarmidabarelli.org;tnfp272sta;https://www.vivoscuola.it/content/view/full/29268;school
centro formazione professionale opera armida barelli - rovereto;;istituzione scolastica e formativa;paritaria/equiparata;bernardo zanoner;camilla cestari;;via setaioli, 5 38068;rovereto;0464/433771;0464/431711;cfprovereto@pec.operaarmidabarelli.org;;cfprovereto@operaarmidabarelli.org;https://www.operaarmidabarelli.org;tncf005001;https://www.vivoscuola.it/content/view/full/29270;institute
centro formazione professionale opera armida barelli - rovereto;capes - settore servizi;;paritaria/equiparata;bernardo zanoner;camilla cestari;;via setaioli, 5 38068;rovereto;0464/433771;0464/431711;cfprovereto@pec.operaarmidabarelli.org;;cfprovereto@operaarmidabarelli.org;https://www.operaarmidabarelli.org;tncf005001;https://www.vivoscuola.it/content/view/full/29270;school
centro formazione professionale opera armida barelli - rovereto;settore servizi;;paritaria/equiparata;bernardo zanoner;camilla cestari;;via setaioli, 5 38068;rovereto;0464/433771;0464/431711;cfprovereto@pec.operaarmidabarelli.org;;cfprovereto@operaarmidabarelli.org;https://www.operaarmidabarelli.org;tncf005001;https://www.vivoscuola.it/content/view/full/29270;school
centro formazione professionale pavoniano artigianelli - trento;;istituzione scolastica e formativa;paritaria/equiparata;erik gadotti;;;piazza di fiera, 4 38122;trento;0461/270244;0461/270241;scuolagrafica@pec.artigianelli.tn.it;;scuolagrafica@artigianelli.tn.it;http://www.artigianelli.tn.it/;tncf004001;https://www.vivoscuola.it/content/view/full/29272;institute
centro formazione professionale pavoniano artigianelli - trento;capes - settore industria e artigianato;;paritaria/equiparata;erik gadotti;;;piazza di fiera, 4 38122;trento;0461/270244;0461/270241;scuolagrafica@pec.artigianelli.tn.it;;scuolagrafica@artigianelli.tn.it;http://www.artigianelli.tn.it/;tncf004001;https://www.vivoscuola.it/content/view/full/29272;school
centro formazione professionale pavoniano artigianelli - trento;settore industria e artigianato;;paritaria/equiparata;erik gadotti;;;piazza di fiera, 4 38122;trento;0461/270244;0461/270241;scuolagrafica@pec.artigianelli.tn.it;;scuolagrafica@artigianelli.tn.it;http://www.artigianelli.tn.it/;tncf004001;https://www.vivoscuola.it/content/view/full/29272;school
centro formazione professionale upt - arco;;istituzione scolastica e formativa;paritaria/equiparata;;claudio nicolussi;;via gazzoletti, 10 38062;arco;0464/556585;0464/556599;cfp-upt@pec.it;;segreteria.arco@cfp-upt.it;https://www.cfpupt.it/sede-di-arco;;https://www.vivoscuola.it/content/view/full/29274;institute
centro formazione professionale upt - arco;capes - settore servizi;;paritaria/equiparata;;claudio nicolussi;;via gazzoletti - mogno, 10 38062;arco;0464/556585;0464/556599;cfp-upt@pec.it;;segreteria.arco@cfp-upt.it;https://www.cfpupt.it/sede-di-arco;tncf005003;https://www.vivoscuola.it/content/view/full/29274;school
centro formazione professionale upt - arco;settore servizi;;paritaria/equiparata;;claudio nicolussi;;via gazzoletti, 10 38062;arco;0464/556585;0464/556599;cfp-upt@pec.it;;segreteria.arco@cfp-upt.it;https://www.cfpupt.it/sede-di-arco;tnfp261sta;https://www.vivoscuola.it/content/view/full/29274;school
centro formazione professionale upt - borgo valsugana;;istituzione scolastica e formativa;paritaria/equiparata;;claudia mammani;;via del mercato, 9/a 38051;borgo valsugana;0461/1830221;0461/233877;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;;https://www.vivoscuola.it/content/view/full/122609;institute
centro formazione professionale upt - borgo valsugana;settore servizi;;paritaria/equiparata;;claudia mammani;;via del mercato, 9/a 38051;borgo valsugana;0461/1830221;0461/233877;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;tnfp273sta;https://www.vivoscuola.it/content/view/full/122609;school
centro formazione professionale upt - cles;;istituzione scolastica e formativa;paritaria/equiparata;;walter iori;;via d agostin, 2 38023;cles;0463/422820;0463/424409;cfp-upt@pec.it;;segreteria.cles@cfp-upt.it;https://www.cfp-upt.it;;https://www.vivoscuola.it/content/view/full/29276;institute
centro formazione professionale upt - cles;capes - settore servizi;;paritaria/equiparata;;walter iori;;via d agostin, 2 38023;cles;0463/422820;0463/424409;cfp-upt@pec.it;;segreteria.cles@cfp-upt.it;https://www.cfp-upt.it;tncf00600v;https://www.vivoscuola.it/content/view/full/29276;school
centro formazione professionale upt - cles;settore servizi;;paritaria/equiparata;;walter iori;;via d agostin, 2 38023;cles;0463/422820;0463/424409;cfp-upt@pec.it;;segreteria.cles@cfp-upt.it;https://www.cfp-upt.it;tnfp262sta;https://www.vivoscuola.it/content/view/full/29276;school
centro formazione professionale upt - rovereto;;istituzione scolastica e formativa;paritaria/equiparata;;paolo zanlucchi;;via pasqui, 10 38068;rovereto;0464/630050;;cfp-upt@pec.it;;segreteria.rovereto@cfp-upt.it;https://www.cfp-upt.it;;https://www.vivoscuola.it/content/view/full/29278;institute
centro formazione professionale upt - rovereto;capes - settore servizi;;paritaria/equiparata;;paolo zanlucchi;;via pasqui, 10 38068;rovereto;0464/630050;;cfp-upt@pec.it;;segreteria.rovereto@cfp-upt.it;https://www.cfp-upt.it;tncf00900a;https://www.vivoscuola.it/content/view/full/29278;school
centro formazione professionale upt - rovereto;settore servizi;;paritaria/equiparata;;paolo zanlucchi;;via pasqui, 10 38068;rovereto;0464/630050;;cfp-upt@pec.it;;segreteria.rovereto@cfp-upt.it;https://www.cfp-upt.it;tnfp000001;https://www.vivoscuola.it/content/view/full/29278;school
centro formazione professionale upt - tione di trento;;istituzione scolastica e formativa;paritaria/equiparata;;maurizio cadonna ;;via roma, 15 38079;tione di trento;0465/321889;0465/324518;cfp-upt@pec.it;;segreteria.tione@cfp-upt.it;https://www.cfp-upt.it;;https://www.vivoscuola.it/content/view/full/29280;institute
centro formazione professionale upt - tione di trento;capes - settore servizi;;paritaria/equiparata;;maurizio cadonna ;;via roma, 15 38079;tione di trento;0465/321889;0465/324518;cfp-upt@pec.it;;segreteria.tione@cfp-upt.it;https://www.cfp-upt.it;tncf00700p;https://www.vivoscuola.it/content/view/full/29280;school
centro formazione professionale upt - tione di trento;settore servizi;;paritaria/equiparata;;maurizio cadonna ;;via roma, 15 38079;tione di trento;0465/321889;0465/324518;cfp-upt@pec.it;;segreteria.tione@cfp-upt.it;https://www.cfp-upt.it;tnfp263sta;https://www.vivoscuola.it/content/view/full/29280;school
centro formazione professionale upt - trento;;istituzione scolastica e formativa;paritaria/equiparata;;walter iori;;via borsieri, 2 38122;trento;0461/239997;0461/260235;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;tncf003001;https://www.vivoscuola.it/content/view/full/29282;institute
centro formazione professionale upt - trento;capes - settore servizi;;paritaria/equiparata;;walter iori;;viale verona, 141 38123;trento;0461/239997;0461/260235;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;tncf003001;https://www.vivoscuola.it/content/view/full/29282;school
centro formazione professionale upt - trento;settore servizi;;paritaria/equiparata;;walter iori;;via borsieri, 2 38122;trento;0461/239997;0461/260235;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;tncf003001;https://www.vivoscuola.it/content/view/full/29282;school
centro formazione professionale upt - trento;settore servizi serale;;paritaria/equiparata;;walter iori;;via borsieri, 2 38122;trento;0461/239997;0461/260235;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;;https://www.vivoscuola.it/content/view/full/29282;school
circolo di coordinamento n. 1;;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;katia pegoretti;viale dante, 5 38057;pergine valsugana;0461/493491;0461/493495;circolo.coordinamento01@provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;institute
circolo di coordinamento n. 1;scuola dell'infanzia di baselga di piné;;a carattere statale/provinciale;;;katia pegoretti;via del municipio vecchio, 2 38042;baselga di pine';0461/557640;0461/493495;scuolainfanzia.baselgadipine@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school
circolo di coordinamento n. 1;"scuola dell'infanzia di capriana ""maddalena lazzeri""";;a carattere statale/provinciale;;;katia pegoretti;piazza scuole, 3 38030;capriana;0462/816377;0461/493495;scuolainfanzia.capriana@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school
circolo di coordinamento n. 1;scuola dell'infanzia di casatta;;a carattere statale/provinciale;;;katia pegoretti;frazione casatta, 54 38040;valfloriana;0462/910249;0461/493495;scuolainfanzia.casatta@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school
circolo di coordinamento n. 1;scuola dell'infanzia di civezzano;;a carattere statale/provinciale;;;katia pegoretti;via telvana, 4 38045;civezzano;0461/858481;0461/493495;scuolainfanzia.civezzano@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school
circolo di coordinamento n. 1;scuola dell'infanzia di daiano-varena;;a carattere statale/provinciale;;;katia pegoretti;via mercato - varena, 22 38030;ville di fiemme;0462/341301;0461/493495;scuolainfanzia.daianovarena@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school
circolo di coordinamento n. 1;"scuola dell'infanzia di fierozzo ""himblring""";;a carattere statale/provinciale;;;katia pegoretti;maso ronca, 9 38050;fierozzo - vlarötz;0461/540044;0461/493495;scuolainfanzia.fierozzo@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school
circolo di coordinamento n. 1;scuola dell'infanzia di miola di pinè;;a carattere statale/provinciale;;;katia pegoretti;via del dos di miola, 13 38042;baselga di pine';0461/557950;0461/493495;scuolainfanzia.miola@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school
circolo di coordinamento n. 1;scuola dell'infanzia di molina di fiemme;;a carattere statale/provinciale;;;katia pegoretti;via segherie, 64/c 38030;castello-molina di fiemme;0462/230696;0461/493495;scuolainfanzia.molina@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school
circolo di coordinamento n. 1;scuola dell'infanzia di piazze;;a carattere statale/provinciale;;;katia pegoretti;via vittorino da feltre, 24 38043;bedollo;0461/556518;0461/493495;scuolainfanzia.bedollo@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school
circolo di coordinamento n. 1;"scuola dell'infanzia di rizzolaga di pinè ""raggio di sole""";;a carattere statale/provinciale;;;katia pegoretti;frazione rizzolaga, 94 38042;baselga di pine';0461/557629;0461/493495;scuolainfanzia.rizzolaga@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school
circolo di coordinamento n. 1;"scuola dell'infanzia di s. orsola ""il girotondo""";;a carattere statale/provinciale;;;katia pegoretti;localita pintarei, 9 38050;sant'orsola terme;0461/551163;0461/493495;scuolainfanzia.santorsola@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school
circolo di coordinamento n. 1;"scuola dell'infanzia di seregnano ""arcobaleno""";;a carattere statale/provinciale;;;katia pegoretti;via alla villa wolf - rovere, 4 38045;civezzano;0461/858736;0461/493495;scuolainfanzia.seregnano@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school
circolo di coordinamento n. 10;;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;ginevra rella;viale trento, 37/e 38068;rovereto;0464/493114;0464/493115;circolo.coordinamento10@provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29302;institute
circolo di coordinamento n. 10;scuola dell'infanzia di besenello;;a carattere statale/provinciale;;;ginevra rella;via vanzetti, 3 38060;besenello;0464/834946;0464/493115;scuolainfanzia.besenello@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29302;school
circolo di coordinamento n. 10;"scuola dell'infanzia di calliano ""matite colorate""";;a carattere statale/provinciale;;;ginevra rella;via iii novembre, 33 38060;calliano;0464/835165;0464/493115;scuolainfanzia.calliano@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29302;school
circolo di coordinamento n. 10;scuola dell'infanzia di isera;;a carattere statale/provinciale;;;ginevra rella;vicolo zandonai,   38060;isera;0464/437292;0464/493115;scuolainfanzia.isera@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29302;school
circolo di coordinamento n. 10;scuola dell'infanzia di nogaredo;;a carattere statale/provinciale;;;ginevra rella;via verdi, 38 38060;nogaredo;0464/411244;0464/493115;scuolainfanzia.nogaredo@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29302;school
circolo di coordinamento n. 10;"scuola dell'infanzia di pomarolo  ""don rainoldi""";;a carattere statale/provinciale;;;ginevra rella;via g.b. adami, 10 38060;pomarolo;0464/410211;0464/493115;scuolainfanzia.pomarolo@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29302;school
circolo di coordinamento n. 10;"scuola dell'infanzia di rovereto  s.ilario ""amici della scuola""";;a carattere statale/provinciale;;;ginevra rella;via monti, 4a 38068;rovereto;0464/411901;0464/493115;scuolainfanzia.santilario@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29302;school
circolo di coordinamento n. 10;scuola dell'infanzia di rovereto brione;;a carattere statale/provinciale;;;ginevra rella;via puccini, 26 38068;rovereto;0464/412892;0464/493115;scuolainfanzia.brione@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29302;school
circolo di coordinamento n. 10;"scuola dell'infanzia di rovereto rione nord ""mille colori""";;a carattere statale/provinciale;;;ginevra rella;via chiocchetti, 1 38068;rovereto;0464/435355;0464/493115;scuolainfanzia.rionenord@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29302;school
circolo di coordinamento n. 11;;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;simonetta errigo;via della gana, 10 38027;male';0461/491939;0461/491940;circolo.coordinamento11@provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29311;institute
