istituto principale;scuola;tipo istituto;tipo gestione;dirigente;direttore;coordinatore pedagogico;indirizzo;comune;telefono;fax;email istituto;email dirigenza;email segreteria;sito web;codice miur
scuola dell'infanzia di volano;;scuola dell'infanzia;paritaria/equiparata;;;silvano medves;via s maria, 13 38060;volano;0464-411516;;volano.segretario@fpsm.tn.it;;volano.segretario@fpsm.tn.it;;
scuola dell'infanzia di volano;scuola dell'infanzia di volano;;paritaria/equiparata;;;silvano medves;via s maria, 13 38060;volano;0464-411516;;volano.segretario@fpsm.tn.it;;volano.segretario@fpsm.tn.it;;
scuola dell'infanzia di aldeno;scuola dell'infanzia di aldeno;;paritaria/equiparata;;;sandra ciappi;via xxv aprile, 5 38060;aldeno;0461-842597;;aldeno.presidente@fpsm.tn.it;;aldeno.segretario@fpsm.tn.it;;
scuola dell'infanzia di andalo;;scuola dell'infanzia;paritaria/equiparata;;;elena ricci;via paganella, 5 38010;andalo;0461-585898;;andalo.presidente@fpsm.tn.it;;andalo.segretario@fpsm.tn.it;;
scuola dell'infanzia di andalo;scuola dell'infanzia di andalo;;paritaria/equiparata;;;elena ricci;via paganella, 5 38010;andalo;0461-585898;;andalo.presidente@fpsm.tn.it;;andalo.segretario@fpsm.tn.it;;
scuola dell'infanzia di arco;;scuola dell'infanzia;paritaria/equiparata;;;gianna angeli;viale capitelli, 16 38062;arco;0464-516369;;arco.segretario@fpsm.tn.it;;arco.segretario@fpsm.tn.it;;
scuola dell'infanzia di arco;scuola dell'infanzia di arco;;paritaria/equiparata;;;gianna angeli;viale capitelli, 16 38062;arco;0464-516369;;arco.segretario@fpsm.tn.it;;arco.segretario@fpsm.tn.it;;
scuola dell'infanzia di avio;;scuola dell'infanzia;paritaria/equiparata;;;francesca vareschi;via dante, 5 38063;avio;0464-684102;;avio.presidente@fpsm.tn.it;;avio.segretario@fpsm.tn.it;;
scuola dell'infanzia di avio;scuola dell'infanzia di avio;;paritaria/equiparata;;;francesca vareschi;via dante, 5 38063;avio;0464-684102;;avio.presidente@fpsm.tn.it;;avio.segretario@fpsm.tn.it;;
scuola dell'infanzia di barco di levico;;scuola dell'infanzia;paritaria/equiparata;;;mariangela simoncini;via di s taddeo, 8 38056;levico terme;0461-707295;;barco.presidente@fpsm.tn.it;;barco.segretario@fpsm.tn.it;;
scuola dell'infanzia di barco di levico;scuola dell'infanzia di barco di levico;;paritaria/equiparata;;;mariangela simoncini;via di s taddeo, 8 38056;levico terme;0461-707295;;barco.presidente@fpsm.tn.it;;barco.segretario@fpsm.tn.it;;
scuola dell'infanzia di bolognano;;scuola dell'infanzia;paritaria/equiparata;;;gianna angeli;piazza vittoria, 1 38062;arco;0464-516315;;bolognano.presidente@fpsm.tn.it;;bolognano.segretario@fpsm.tn.it;;
scuola dell'infanzia di bolognano;scuola dell'infanzia di bolognano;;paritaria/equiparata;;;gianna angeli;piazza vittoria, 1 38062;arco;0464-516315;;bolognano.presidente@fpsm.tn.it;;bolognano.segretario@fpsm.tn.it;;
scuola dell'infanzia di borgo sacco;;scuola dell'infanzia;paritaria/equiparata;;;roberta medeghini;via fedrigotti, 9 38068;rovereto;0464-430541;;borgo.sacco.presidente@fpsm.tn.it;;borgo.sacco.segretario@fpsm.tn.it;;
scuola dell'infanzia di borgo sacco;scuola dell'infanzia di borgo sacco;;paritaria/equiparata;;;roberta medeghini;via fedrigotti, 9 38068;rovereto;0464-430541;;borgo.sacco.presidente@fpsm.tn.it;;borgo.sacco.segretario@fpsm.tn.it;;
scuola dell'infanzia di borgo valsugana;;scuola dell'infanzia;paritaria/equiparata;;;paola sangiorgi;piazza romani, 8 38051;borgo valsugana;0461-754771;;borgo.valsugana.presidente@fpsm.tn.it;;borgo.valsugana.segretario@fpsm.tn.it;;
scuola dell'infanzia di borgo valsugana;scuola dell'infanzia di borgo valsugana;;paritaria/equiparata;;;paola sangiorgi;piazza romani, 8 38051;borgo valsugana;0461-754771;;borgo.valsugana.presidente@fpsm.tn.it;;borgo.valsugana.segretario@fpsm.tn.it;;
scuola dell'infanzia di brentonico;;scuola dell'infanzia;paritaria/equiparata;;;francesca vareschi;via mantova, 5 38060;brentonico;0464-395628;;brentonico.segretario@fpsm.tn.it;;brentonico.segretario@fpsm.tn.it;;
scuola dell'infanzia di brentonico;scuola dell'infanzia di brentonico;;paritaria/equiparata;;;francesca vareschi;via mantova, 5 38060;brentonico;0464-395628;;brentonico.segretario@fpsm.tn.it;;brentonico.segretario@fpsm.tn.it;;
scuola dell'infanzia di calceranica;;scuola dell'infanzia;paritaria/equiparata;;;mariangela simoncini;via cavour, 2 38050;calceranica al lago;0461-723325;;calceranica.contabile@fpsm.tn.it;;calceranica.segretario@fpsm.tn.it;;
scuola dell'infanzia di calceranica;scuola dell'infanzia di calceranica;;paritaria/equiparata;;;mariangela simoncini;via cavour, 2 38050;calceranica al lago;0461-723325;;calceranica.contabile@fpsm.tn.it;;calceranica.segretario@fpsm.tn.it;;
scuola dell'infanzia di campitello di fassa;;scuola dell'infanzia;paritaria/equiparata;;;sara de zolt;strèda sènc felip e giacum, 9 38031;campitello di fassa - ciampedel;0462-750470;;campitello.presidente@fpsm.tn.it;;campitello.segretario@fpsm.tn.it;;
scuola dell'infanzia di campitello di fassa;scuola dell'infanzia di campitello di fassa;;paritaria/equiparata;;;sara de zolt;strèda sènc felip e giacum, 9 38031;campitello di fassa - ciampedel;0462-750470;;campitello.presidente@fpsm.tn.it;;campitello.segretario@fpsm.tn.it;;
scuola dell'infanzia di campodenno;;scuola dell'infanzia;paritaria/equiparata;;;ute pancher;via s maurizio, 3 38010;campodenno;0461-655166;;campodenno.presidente@fpsm.tn.it;;campodenno.segretario@fpsm.tn.it;;
scuola dell'infanzia di campodenno;scuola dell'infanzia di campodenno;;paritaria/equiparata;;;ute pancher;via s maurizio, 3 38010;campodenno;0461-655166;;campodenno.presidente@fpsm.tn.it;;campodenno.segretario@fpsm.tn.it;;
scuola dell'infanzia di carano;;scuola dell'infanzia;paritaria/equiparata;;;tiziana ceol;via giovanelli, 40 38033;ville di fiemme;0462-341759;;carano.presidente@fpsm.tn.it;;carano.segretario@fpsm.tn.it;;
scuola dell'infanzia di nave san rocco;scuola dell'infanzia di nave san rocco;;paritaria/equiparata;;;pamela tomaselli;via iv novembre, 34/a 38010;terre d'adige;0461-870656;;nave.presidente@fpsm.tn.it;;nave.segretario@fpsm.tn.it;;
scuola dell'infanzia di nomi;;scuola dell'infanzia;paritaria/equiparata;;;roberta medeghini;via baroni del moll, 2 38060;nomi;0464-835294;;nomi.segretario@fpsm.tn.it;;nomi.segretario@fpsm.tn.it;;
scuola dell'infanzia di nomi;scuola dell'infanzia di nomi;;paritaria/equiparata;;;roberta medeghini;via baroni del moll, 2 38060;nomi;0464-835294;;nomi.segretario@fpsm.tn.it;;nomi.segretario@fpsm.tn.it;;
scuola dell'infanzia di padergnone;;scuola dell'infanzia;paritaria/equiparata;;;sandra ciappi;via alle cime - padergnone, 14 38070;vallelaghi;0461-864358;;padergnone.presidente@fpsm.tn.it;;padergnone.segretario@fpsm.tn.it;;
scuola dell'infanzia di padergnone;scuola dell'infanzia di padergnone;;paritaria/equiparata;;;sandra ciappi;via alle cime - padergnone, 14 38070;vallelaghi;0461-864358;;padergnone.presidente@fpsm.tn.it;;padergnone.segretario@fpsm.tn.it;;
scuola dell'infanzia di pedersano;;scuola dell'infanzia;paritaria/equiparata;;;roberta medeghini;via s antonio, 1 38060;villa lagarina;0464-412151;;pedersano.presidente@fpsm.tn.it;;pedersano.segretario@fpsm.tn.it;;
scuola dell'infanzia di pedersano;scuola dell'infanzia di pedersano;;paritaria/equiparata;;;roberta medeghini;via s antonio, 1 38060;villa lagarina;0464-412151;;pedersano.presidente@fpsm.tn.it;;pedersano.segretario@fpsm.tn.it;;
scuola dell'infanzia di pietramurata;;scuola dell'infanzia;paritaria/equiparata;;;gianna angeli;piazza mercato, 11 38074;dro;0464-507142;;pietramurata.presidente@fpsm.tn.it;;pietramurata.segretario@fpsm.tn.it;;
scuola dell'infanzia di pietramurata;scuola dell'infanzia di pietramurata;;paritaria/equiparata;;;gianna angeli;piazza mercato, 11 38074;dro;0464-507142;;pietramurata.presidente@fpsm.tn.it;;pietramurata.segretario@fpsm.tn.it;;
scuola dell'infanzia di pieve tesino;;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';via fratelli rizza', 14 38050;pieve tesino;0461-594733;;pieve.tesino.presidente@fpsm.tn.it;;pieve.tesino.segretario@fpsm.tn.it;;
scuola dell'infanzia di pieve tesino;scuola dell'infanzia di pieve tesino;;paritaria/equiparata;;;daniela dalcastagne';via fratelli rizza', 14 38050;pieve tesino;0461-594733;;pieve.tesino.presidente@fpsm.tn.it;;pieve.tesino.segretario@fpsm.tn.it;;
scuola dell'infanzia di pieve di bono;;scuola dell'infanzia;paritaria/equiparata;;;alessandra pomilio;via fiera - creto - pieve di bono, 9/b 38085;pieve di bono-prezzo;0465-674083;;pieve.bono.presidente@fpsm.tn.it;;pieve.bono.segretario@fpsm.tn.it;;
scuola dell'infanzia di pieve di bono;scuola dell'infanzia di pieve di bono;;paritaria/equiparata;;;alessandra pomilio;via fiera - creto - pieve di bono, 9/b 38085;pieve di bono-prezzo;0465-674083;;pieve.bono.presidente@fpsm.tn.it;;pieve.bono.segretario@fpsm.tn.it;;
scuola dell'infanzia di pilcante;;scuola dell'infanzia;paritaria/equiparata;;;francesca vareschi;piazza vittorio veneto - pilcante, 19 38061;ala;0464-672588;;pilcante.presidente@fpsm.tn.it;;pilcante.segretario@fpsm.tn.it;;
scuola dell'infanzia di pilcante;scuola dell'infanzia di pilcante;;paritaria/equiparata;;;francesca vareschi;piazza vittorio veneto - pilcante, 19 38061;ala;0464-672588;;pilcante.presidente@fpsm.tn.it;;pilcante.segretario@fpsm.tn.it;;
scuola dell'infanzia di pinzolo;;scuola dell'infanzia;paritaria/equiparata;;;alessandra pomilio;via al sole, 43 38086;pinzolo;0465-501019;;pinzolo.presidente@fpsm.tn.it;;pinzolo.segretario@fpsm.tn.it;;
scuola dell'infanzia di pinzolo;scuola dell'infanzia di pinzolo;;paritaria/equiparata;;;alessandra pomilio;via al sole, 43 38086;pinzolo;0465-501019;;pinzolo.presidente@fpsm.tn.it;;pinzolo.segretario@fpsm.tn.it;;
scuola dell'infanzia di ponte arche;;scuola dell'infanzia;paritaria/equiparata;;;lorenzo santorum;via s giovanni bosco - ponte arche - bleggio inferiore, 7 38070;comano terme;0465-702422;;ponte.arche.presidente@fpsm.tn.it;;ponte.arche.segretario@fpsm.tn.it;;
scuola dell'infanzia di ponte arche;scuola dell'infanzia di ponte arche;;paritaria/equiparata;;;lorenzo santorum;via s giovanni bosco - ponte arche - bleggio inferiore, 7 38070;comano terme;0465-702422;;ponte.arche.presidente@fpsm.tn.it;;ponte.arche.segretario@fpsm.tn.it;;
scuola dell'infanzia di povo;;scuola dell'infanzia;paritaria/equiparata;;;ivana leonardelli;via pante', 1 38123;trento;0461-810049;;povo.presidente@fpsm.tn.it;;povo.segretario@fpsm.tn.it;;
scuola dell'infanzia di povo;scuola dell'infanzia di povo;;paritaria/equiparata;;;ivana leonardelli;via pante', 1 38123;trento;0461-810049;;povo.presidente@fpsm.tn.it;;povo.segretario@fpsm.tn.it;;
scuola dell'infanzia di pozza di trambileno;;scuola dell'infanzia;paritaria/equiparata;;;roberta medeghini;frazione vanza, 50 38068;trambileno;0464-868074;;trambileno.presidente@fpsm.tn.it;;trambileno.segretario@fpsm.tn.it;;
scuola dell'infanzia di pozza di trambileno;scuola dell'infanzia di pozza di trambileno;;paritaria/equiparata;;;roberta medeghini;frazione vanza, 50 38068;trambileno;0464-868074;;trambileno.presidente@fpsm.tn.it;;trambileno.segretario@fpsm.tn.it;;
scuola dell'infanzia di pressano;;scuola dell'infanzia;paritaria/equiparata;;;pamela tomaselli;via pilati, 16 38015;lavis;0461-240394;;pressano.presidente@fpsm.tn.it;;pressano.segretario@fpsm.tn.it;;
scuola dell'infanzia di pressano;scuola dell'infanzia di pressano;;paritaria/equiparata;;;pamela tomaselli;via pilati, 16 38015;lavis;0461-240394;;pressano.presidente@fpsm.tn.it;;pressano.segretario@fpsm.tn.it;;
scuola dell'infanzia di quadra - cavrasto;;scuola dell'infanzia;paritaria/equiparata;;;lorenzo santorum;frazione larido, 10 38071;bleggio superiore;0465-779575;;quadra.cavrasto.presidente@fpsm.tn.it;;quadra.cavrasto.segretario@fpsm.tn.it;;
scuola dell'infanzia di quadra - cavrasto;scuola dell'infanzia di quadra - cavrasto;;paritaria/equiparata;;;lorenzo santorum;frazione larido, 10 38071;bleggio superiore;0465-779575;;quadra.cavrasto.presidente@fpsm.tn.it;;quadra.cavrasto.segretario@fpsm.tn.it;;
"scuola dell'infanzia di riva ""degasperi""";;scuola dell'infanzia;paritaria/equiparata;;;luisa fontanari;largo caduti delle foibe, 2 38066;riva del garda;0464-553578;;riva.rione.presidente@fpsm.tn.it;;riva.rione.segretario@fpsm.tn.it;;
"scuola dell'infanzia di riva ""degasperi""";"scuola dell'infanzia di riva  ""degasperi""";;paritaria/equiparata;;;luisa fontanari;largo caduti delle foibe, 2 38066;riva del garda;0464-553578;;riva.rione.presidente@fpsm.tn.it;;riva.rione.segretario@fpsm.tn.it;;
"scuola dell'infanzia di riva del garda  ""s. alessandro""";;scuola dell'infanzia;paritaria/equiparata;;;luisa fontanari;via s alessandro, 10 38066;riva del garda;0464-554051;;s.alessandro.presidente@fpsm.tn.it;;s.alessandro.segretario@fpsm.tn.it;;
"scuola dell'infanzia di riva del garda  ""s. alessandro""";"scuola dell'infanzia di riva del garda  ""s. alessandro""";;paritaria/equiparata;;;luisa fontanari;via s alessandro, 10 38066;riva del garda;0464-554051;;s.alessandro.presidente@fpsm.tn.it;;s.alessandro.segretario@fpsm.tn.it;;
scuola dell'infanzia di roncegno;;scuola dell'infanzia;paritaria/equiparata;;;paola sangiorgi;via baldessari, 15 38050;roncegno terme;0461-764199;;roncegno.presidente@fpsm.tn.it;;roncegno.segretario@fpsm.tn.it;;
scuola dell'infanzia di roncegno;scuola dell'infanzia di roncegno;;paritaria/equiparata;;;paola sangiorgi;via baldessari, 15 38050;roncegno terme;0461-764199;;roncegno.presidente@fpsm.tn.it;;roncegno.segretario@fpsm.tn.it;;
scuola dell'infanzia di ronchi valsugana;;scuola dell'infanzia;paritaria/equiparata;;;paola sangiorgi;via marchi, 14 38050;ronchi valsugana;0461-773197;;ronchi.valsugana.presidente@fpsm.tn.it;;ronchi.valsugana.segretario@fpsm.tn.it;;
scuola dell'infanzia di ronchi valsugana;scuola dell'infanzia di ronchi valsugana;;paritaria/equiparata;;;paola sangiorgi;via marchi, 14 38050;ronchi valsugana;0461-773197;;ronchi.valsugana.presidente@fpsm.tn.it;;ronchi.valsugana.segretario@fpsm.tn.it;;
scuola dell'infanzia di telve;;scuola dell'infanzia;paritaria/equiparata;;;paola sangiorgi;via paradiso, 1 38050;telve;0461-766315;;telve.presidente@fpsm.tn.it;;telve.segretario@fpsm.tn.it;;
scuola dell'infanzia di telve;scuola dell'infanzia di telve;;paritaria/equiparata;;;paola sangiorgi;via paradiso, 1 38050;telve;0461-766315;;telve.presidente@fpsm.tn.it;;telve.segretario@fpsm.tn.it;;
scuola dell'infanzia di tenno;;scuola dell'infanzia;paritaria/equiparata;;;luisa fontanari;via brocchetti, 53 38060;tenno;0464-503034;;tenno.presidente@fpsm.tn.it;;tenno.segretario@fpsm.tn.it;;
scuola dell'infanzia di tenno;scuola dell'infanzia di tenno;;paritaria/equiparata;;;luisa fontanari;via brocchetti, 53 38060;tenno;0464-503034;;tenno.presidente@fpsm.tn.it;;tenno.segretario@fpsm.tn.it;;
scuola dell'infanzia di tezze valsugana;;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';via marconi, 8/a 38055;grigno;0461-769192;;tezze.presidente@fpsm.tn.it;;tezze.segretario@fpsm.tn.it;;
scuola dell'infanzia di tezze valsugana;scuola dell'infanzia di tezze valsugana;;paritaria/equiparata;;;daniela dalcastagne';via marconi, 8/a 38055;grigno;0461-769192;;tezze.presidente@fpsm.tn.it;;tezze.segretario@fpsm.tn.it;;
scuola dell'infanzia di tonadico;;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';via fuganti - tonadico, 8 38054;primiero san martino di castrozza;0439-762062;;tonadico.segretario@fpsm.tn.it;;tonadico.segretario@fpsm.tn.it;;
scuola dell'infanzia di tonadico;scuola dell'infanzia di tonadico;;paritaria/equiparata;;;daniela dalcastagne';via fuganti - tonadico, 8 38054;primiero san martino di castrozza;0439-762062;;tonadico.segretario@fpsm.tn.it;;tonadico.segretario@fpsm.tn.it;;
scuola dell'infanzia di torbole;;scuola dell'infanzia;paritaria/equiparata;;;luisa fontanari;via don davide gioppi, 72 38069;nago-torbole;0464-505159;;torbole.presidente@fpsm.tn.it;;torbole.segretario@fpsm.tn.it;;
scuola dell'infanzia di torbole;scuola dell'infanzia di torbole;;paritaria/equiparata;;;luisa fontanari;via don davide gioppi, 72 38069;nago-torbole;0464-505159;;torbole.presidente@fpsm.tn.it;;torbole.segretario@fpsm.tn.it;;
scuola dell'infanzia di transacqua;;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';piazza municipio - transacqua, 11 38054;primiero san martino di castrozza;0439-62313;;transacqua.presidente@fpsm.tn.it;;transacqua.segretario@fpsm.tn.it;;
scuola dell'infanzia di transacqua;scuola dell'infanzia di transacqua;;paritaria/equiparata;;;daniela dalcastagne';piazza municipio - transacqua, 11 38054;primiero san martino di castrozza;0439-62313;;transacqua.presidente@fpsm.tn.it;;transacqua.segretario@fpsm.tn.it;;
"scuola dell'infanzia di trento  ""pedrotti""";;scuola dell'infanzia;paritaria/equiparata;;;sandra ciappi;via asilo pedrotti, 2 38122;trento;0461-914039;;trento.pedrotti.presidente@fpsm.tn.it;;trento.pedrotti.segretario@fpsm.tn.it;;
"scuola dell'infanzia di trento  ""pedrotti""";"scuola dell'infanzia di trento  ""pedrotti""";;paritaria/equiparata;;;sandra ciappi;via asilo pedrotti, 2 38122;trento;0461-914039;;trento.pedrotti.presidente@fpsm.tn.it;;trento.pedrotti.segretario@fpsm.tn.it;;
scuola dell'infanzia di trento  s. bartolomeo;;scuola dell'infanzia;paritaria/equiparata;;;sandra ciappi;viale dei tigli, 9/1 38123;trento;0461-924555;;trento.s.bartolomeo.segretario@fpsm.tn.it;;trento.s.bartolomeo.segretario@fpsm.tn.it;;
scuola dell'infanzia di trento  s. bartolomeo;scuola dell'infanzia di trento  s. bartolomeo;;paritaria/equiparata;;;sandra ciappi;viale dei tigli, 9/1 38123;trento;0461-924555;;trento.s.bartolomeo.segretario@fpsm.tn.it;;trento.s.bartolomeo.segretario@fpsm.tn.it;;
"scuola dell'infanzia di trento cognola  ""b. kofler""";;scuola dell'infanzia;paritaria/equiparata;;;ivana leonardelli;via kofler, 10 38121;trento;0461 235069;0461 983903;cognola.segretario@fpsm.tn.it;;cognola.segretario@fpsm.tn.it;;
"scuola dell'infanzia di trento cognola  ""b. kofler""";"scuola dell'infanzia di trento cognola ""b. kofler""";;paritaria/equiparata;;;ivana leonardelli;via kofler, 10 38121;trento;0461 235069;0461 983903;cognola.segretario@fpsm.tn.it;;cognola.segretario@fpsm.tn.it;;
scuola dell'infanzia di trento la clarina;;scuola dell'infanzia;paritaria/equiparata;;;sandra ciappi;via einaudi, 66 38123;trento;0461-923464;;trento.clarina.presidente@fpsm.tn.it;;trento.clarina.segretario@fpsm.tn.it;;
scuola dell'infanzia di trento la clarina;scuola dell'infanzia di trento la clarina;;paritaria/equiparata;;;sandra ciappi;via einaudi, 66 38123;trento;0461-923464;;trento.clarina.presidente@fpsm.tn.it;;trento.clarina.segretario@fpsm.tn.it;;
"scuola dell'infanzia di trento san donà ""b. kofler""";;scuola dell'infanzia;paritaria/equiparata;;;ivana leonardelli;via per cognola, 43 38122;trento;0461 260977;0461 983903;cognola.segretario@fpsm.tn.it;;trento.san.dona.segretario@fpsm.tn.it;;
"scuola dell'infanzia di trento san donà ""b. kofler""";"scuola dell'infanzia di trento san donà ""b. kofler""";;paritaria/equiparata;;;ivana leonardelli;via per cognola, 43 38122;trento;0461 260977;0461 983903;cognola.segretario@fpsm.tn.it;;trento.san.dona.segretario@fpsm.tn.it;;
scuola dell'infanzia di varone;;scuola dell'infanzia;paritaria/equiparata;;;luisa fontanari;via sega, 5 38066;riva del garda;0464-521350;;varone.presidente@fpsm.tn.it;;varone.segretario@fpsm.tn.it;;
scuola dell'infanzia di varone;scuola dell'infanzia di varone;;paritaria/equiparata;;;luisa fontanari;via sega, 5 38066;riva del garda;0464-521350;;varone.presidente@fpsm.tn.it;;varone.segretario@fpsm.tn.it;;
scuola dell'infanzia di vermiglio;;scuola dell'infanzia;paritaria/equiparata;;;roberta bertolas;via di s pietro, 26 38029;vermiglio;0463-758141;;vermiglio.presidente@fpsm.tn.it;;vermiglio.segretario@fpsm.tn.it;;
scuola dell'infanzia di vermiglio;scuola dell'infanzia di vermiglio;;paritaria/equiparata;;;roberta bertolas;via di s pietro, 26 38029;vermiglio;0463-758141;;vermiglio.presidente@fpsm.tn.it;;vermiglio.segretario@fpsm.tn.it;;
scuola dell'infanzia di vezzano;;scuola dell'infanzia;paritaria/equiparata;;;sandra ciappi;via dante - vezzano, 24 38070;vallelaghi;0461-864918;;vezzano.presidente@fpsm.tn.it;;vezzano.segretario@fpsm.tn.it;;
scuola dell'infanzia di vezzano;scuola dell'infanzia di vezzano;;paritaria/equiparata;;;sandra ciappi;via dante - vezzano, 24 38070;vallelaghi;0461-864918;;vezzano.presidente@fpsm.tn.it;;vezzano.segretario@fpsm.tn.it;;
scuola dell'infanzia di vigo cavedine;;scuola dell'infanzia;paritaria/equiparata;;;gianna angeli;via scuola materna, 1 38073;cavedine;0461-566061;;vigo.cavedine.presidente@fpsm.tn.it;;vigo.cavedine.segretario@fpsm.tn.it;;
scuola dell'infanzia di vigo cavedine;scuola dell'infanzia di vigo cavedine;;paritaria/equiparata;;;gianna angeli;via scuola materna, 1 38073;cavedine;0461-566061;;vigo.cavedine.presidente@fpsm.tn.it;;vigo.cavedine.segretario@fpsm.tn.it;;
scuola dell'infanzia di vigo lomaso;;scuola dell'infanzia;paritaria/equiparata;;;lorenzo santorum;frazione vigo lomaso - lomaso, 1 38070;comano terme;0465-701249;;vigo.lomaso.presidente@fpsm.tn.it;;vigo.lomaso.segretario@fpsm.tn.it;;
scuola dell'infanzia di vigo lomaso;scuola dell'infanzia di vigo lomaso;;paritaria/equiparata;;;lorenzo santorum;frazione vigo lomaso - lomaso, 1 38070;comano terme;0465-701249;;vigo.lomaso.presidente@fpsm.tn.it;;vigo.lomaso.segretario@fpsm.tn.it;;
scuola dell'infanzia di vigo di fassa;;scuola dell'infanzia;paritaria/equiparata;;;sara de zolt;strada giuseppe soraperra - pozza di fassa, 4 38036;san giovanni di fassa - sen jan;0462-763194;;vigo.fassa.presidente@fpsm.tn.it;;vigo.fassa.segretario@fpsm.tn.it;;
scuola dell'infanzia di ghiaie di gardolo;scuola dell'infanzia di ghiaie di gardolo;;paritaria/equiparata;;;carmen fattori;via del loghét, 69 38121;trento;0461-990050;;ghiaie.segretario@fpsm.tn.it;;ghiaie.segretario@fpsm.tn.it;;
scuola dell'infanzia di grigno;;scuola dell'infanzia;paritaria/equiparata;;;daniela dalcastagne';via nazario sauro, 25 38055;grigno;0461-765333;;grigno.presidente@fpsm.tn.it;;grigno.segretario@fpsm.tn.it;;
scuola dell'infanzia di grigno;scuola dell'infanzia di grigno;;paritaria/equiparata;;;daniela dalcastagne';via nazario sauro, 25 38055;grigno;0461-765333;;grigno.presidente@fpsm.tn.it;;grigno.segretario@fpsm.tn.it;;
scuola dell'infanzia di ischia di pergine;;scuola dell'infanzia;paritaria/equiparata;;;mariangela simoncini;piazza delle nogare, 2 38057;pergine valsugana;0461-532285;;ischia.presidente@fpsm.tn.it;;ischia.segretario@fpsm.tn.it;;
scuola dell'infanzia di ischia di pergine;scuola dell'infanzia di ischia di pergine;;paritaria/equiparata;;;mariangela simoncini;piazza delle nogare, 2 38057;pergine valsugana;0461-532285;;ischia.presidente@fpsm.tn.it;;ischia.segretario@fpsm.tn.it;;
scuola dell'infanzia di lona;;scuola dell'infanzia;paritaria/equiparata;;;pamela tomaselli;via s rocco, 14 38040;lona-lases;0461-697101;;lona.presidente@fpsm.tn.it;;lona.segretario@fpsm.tn.it;;
scuola dell'infanzia di lona;scuola dell'infanzia di lona;;paritaria/equiparata;;;pamela tomaselli;via s rocco, 14 38040;lona-lases;0461-697101;;lona.presidente@fpsm.tn.it;;lona.segretario@fpsm.tn.it;;
scuola dell'infanzia di madonna di campiglio;;scuola dell'infanzia;paritaria/equiparata;;;alessandra pomilio;via serafini - madonna di campiglio, 13 38070;tre ville;0465-442779;0465 442779;madonna.campiglio.segretario@fpsm.tn.it;;madonna.campiglio.segretario@fpsm.tn.it;;
