"Istituto Principale";Scuola;"Tipo Istituto";"Tipo Gestione";Dirigente;Direttore;"Coordinatore Pedagogico";Indirizzo;Comune;Telefono;Fax;"Email istituto";"Email dirigenza";"Email segreteria";"Sito web";"Codice MIUR"
"Scuola dell'infanzia di Volano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SILVANO MEDVES";"Via S Maria, 13 38060";VOLANO;0464-411516;;volano.segretario@fpsm.tn.it;;volano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Volano";"Scuola dell'Infanzia di Volano";;Paritaria/equiparata;;;"SILVANO MEDVES";"Via S Maria, 13 38060";VOLANO;0464-411516;;volano.segretario@fpsm.tn.it;;volano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Aldeno";"Scuola dell'Infanzia di Aldeno";;Paritaria/equiparata;;;"SANDRA CIAPPI";"Via XXV Aprile, 5 38060";ALDENO;0461-842597;;aldeno.presidente@fpsm.tn.it;;aldeno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Andalo";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ELENA RICCI";"Via Paganella, 5 38010";ANDALO;0461-585898;;andalo.presidente@fpsm.tn.it;;andalo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Andalo";"Scuola dell'Infanzia di Andalo";;Paritaria/equiparata;;;"ELENA RICCI";"Via Paganella, 5 38010";ANDALO;0461-585898;;andalo.presidente@fpsm.tn.it;;andalo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Arco";;"Scuola dell'infanzia";Paritaria/equiparata;;;"GIANNA ANGELI";"Viale Capitelli, 16 38062";ARCO;0464-516369;;arco.segretario@fpsm.tn.it;;arco.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Arco";"Scuola dell'Infanzia di Arco";;Paritaria/equiparata;;;"GIANNA ANGELI";"Viale Capitelli, 16 38062";ARCO;0464-516369;;arco.segretario@fpsm.tn.it;;arco.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Avio";;"Scuola dell'infanzia";Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Via Dante, 5 38063";AVIO;0464-684102;;avio.presidente@fpsm.tn.it;;avio.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Avio";"Scuola dell'Infanzia di Avio";;Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Via Dante, 5 38063";AVIO;0464-684102;;avio.presidente@fpsm.tn.it;;avio.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Barco di Levico";;"Scuola dell'infanzia";Paritaria/equiparata;;;"MARIANGELA SIMONCINI";"Via di S Taddeo, 8 38056";"LEVICO TERME";0461-707295;;barco.presidente@fpsm.tn.it;;barco.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Barco di Levico";"Scuola dell'Infanzia di Barco di Levico";;Paritaria/equiparata;;;"MARIANGELA SIMONCINI";"Via di S Taddeo, 8 38056";"LEVICO TERME";0461-707295;;barco.presidente@fpsm.tn.it;;barco.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Bolognano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"GIANNA ANGELI";"Piazza Vittoria, 1 38062";ARCO;0464-516315;;bolognano.presidente@fpsm.tn.it;;bolognano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Bolognano";"Scuola dell'Infanzia di Bolognano";;Paritaria/equiparata;;;"GIANNA ANGELI";"Piazza Vittoria, 1 38062";ARCO;0464-516315;;bolognano.presidente@fpsm.tn.it;;bolognano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Borgo Sacco";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ROBERTA MEDEGHINI";"Via Fedrigotti, 9 38068";ROVERETO;0464-430541;;borgo.sacco.presidente@fpsm.tn.it;;borgo.sacco.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Borgo Sacco";"Scuola dell'Infanzia di Borgo Sacco";;Paritaria/equiparata;;;"ROBERTA MEDEGHINI";"Via Fedrigotti, 9 38068";ROVERETO;0464-430541;;borgo.sacco.presidente@fpsm.tn.it;;borgo.sacco.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Borgo Valsugana";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAOLA SANGIORGI";"Piazza Romani, 8 38051";"BORGO VALSUGANA";0461-754771;;borgo.valsugana.presidente@fpsm.tn.it;;borgo.valsugana.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Borgo Valsugana";"Scuola dell'Infanzia di Borgo Valsugana";;Paritaria/equiparata;;;"PAOLA SANGIORGI";"Piazza Romani, 8 38051";"BORGO VALSUGANA";0461-754771;;borgo.valsugana.presidente@fpsm.tn.it;;borgo.valsugana.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Brentonico";;"Scuola dell'infanzia";Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Via Mantova, 5 38060";BRENTONICO;0464-395628;;brentonico.segretario@fpsm.tn.it;;brentonico.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Brentonico";"Scuola dell'Infanzia di Brentonico";;Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Via Mantova, 5 38060";BRENTONICO;0464-395628;;brentonico.segretario@fpsm.tn.it;;brentonico.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Calceranica";;"Scuola dell'infanzia";Paritaria/equiparata;;;"MARIANGELA SIMONCINI";"Via Cavour, 2 38050";"CALCERANICA AL LAGO";0461-723325;;calceranica.contabile@fpsm.tn.it;;calceranica.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Calceranica";"Scuola dell'Infanzia di Calceranica";;Paritaria/equiparata;;;"MARIANGELA SIMONCINI";"Via Cavour, 2 38050";"CALCERANICA AL LAGO";0461-723325;;calceranica.contabile@fpsm.tn.it;;calceranica.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Campitello di Fassa";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SARA DE ZOLT";"Strèda sènc Felip e Giacum, 9 38031";"CAMPITELLO DI FASSA - CIAMPEDEL";0462-750470;;campitello.presidente@fpsm.tn.it;;campitello.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Campitello di Fassa";"Scuola dell'Infanzia di Campitello di Fassa";;Paritaria/equiparata;;;"SARA DE ZOLT";"Strèda sènc Felip e Giacum, 9 38031";"CAMPITELLO DI FASSA - CIAMPEDEL";0462-750470;;campitello.presidente@fpsm.tn.it;;campitello.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Campodenno";;"Scuola dell'infanzia";Paritaria/equiparata;;;"UTE PANCHER";"Via S Maurizio, 3 38010";CAMPODENNO;0461-655166;;campodenno.presidente@fpsm.tn.it;;campodenno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Campodenno";"Scuola dell'Infanzia di Campodenno";;Paritaria/equiparata;;;"UTE PANCHER";"Via S Maurizio, 3 38010";CAMPODENNO;0461-655166;;campodenno.presidente@fpsm.tn.it;;campodenno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Carano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"TIZIANA CEOL";"Via Giovanelli, 40 38033";"VILLE DI FIEMME";0462-341759;;carano.presidente@fpsm.tn.it;;carano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Nave San Rocco";"Scuola dell'Infanzia di Nave San Rocco";;Paritaria/equiparata;;;"PAMELA TOMASELLI";"Via IV Novembre, 34/A 38010";"TERRE D'ADIGE";0461-870656;;nave.presidente@fpsm.tn.it;;nave.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Nomi";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ROBERTA MEDEGHINI";"Via Baroni Del Moll, 2 38060";NOMI;0464-835294;;nomi.segretario@fpsm.tn.it;;nomi.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Nomi";"Scuola dell'Infanzia di Nomi";;Paritaria/equiparata;;;"ROBERTA MEDEGHINI";"Via Baroni Del Moll, 2 38060";NOMI;0464-835294;;nomi.segretario@fpsm.tn.it;;nomi.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Padergnone";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SANDRA CIAPPI";"Via alle Cime - Padergnone, 14 38070";VALLELAGHI;0461-864358;;padergnone.presidente@fpsm.tn.it;;padergnone.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Padergnone";"Scuola dell'Infanzia di Padergnone";;Paritaria/equiparata;;;"SANDRA CIAPPI";"Via alle Cime - Padergnone, 14 38070";VALLELAGHI;0461-864358;;padergnone.presidente@fpsm.tn.it;;padergnone.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pedersano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ROBERTA MEDEGHINI";"Via S Antonio, 1 38060";"VILLA LAGARINA";0464-412151;;pedersano.presidente@fpsm.tn.it;;pedersano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pedersano";"Scuola dell'Infanzia di Pedersano";;Paritaria/equiparata;;;"ROBERTA MEDEGHINI";"Via S Antonio, 1 38060";"VILLA LAGARINA";0464-412151;;pedersano.presidente@fpsm.tn.it;;pedersano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pietramurata";;"Scuola dell'infanzia";Paritaria/equiparata;;;"GIANNA ANGELI";"Piazza Mercato, 11 38074";DRO;0464-507142;;pietramurata.presidente@fpsm.tn.it;;pietramurata.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pietramurata";"Scuola dell'Infanzia di Pietramurata";;Paritaria/equiparata;;;"GIANNA ANGELI";"Piazza Mercato, 11 38074";DRO;0464-507142;;pietramurata.presidente@fpsm.tn.it;;pietramurata.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pieve Tesino";;"Scuola dell'infanzia";Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Via Fratelli Rizza', 14 38050";"PIEVE TESINO";0461-594733;;pieve.tesino.presidente@fpsm.tn.it;;pieve.tesino.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pieve Tesino";"Scuola dell'Infanzia di Pieve Tesino";;Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Via Fratelli Rizza', 14 38050";"PIEVE TESINO";0461-594733;;pieve.tesino.presidente@fpsm.tn.it;;pieve.tesino.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pieve di Bono";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Via Fiera - Creto - Pieve di Bono, 9/B 38085";"PIEVE DI BONO-PREZZO";0465-674083;;pieve.bono.presidente@fpsm.tn.it;;pieve.bono.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pieve di Bono";"Scuola dell'Infanzia di Pieve di Bono";;Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Via Fiera - Creto - Pieve di Bono, 9/B 38085";"PIEVE DI BONO-PREZZO";0465-674083;;pieve.bono.presidente@fpsm.tn.it;;pieve.bono.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pilcante";;"Scuola dell'infanzia";Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Piazza Vittorio Veneto - Pilcante, 19 38061";ALA;0464-672588;;pilcante.presidente@fpsm.tn.it;;pilcante.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pilcante";"Scuola dell'Infanzia di Pilcante";;Paritaria/equiparata;;;"FRANCESCA VARESCHI";"Piazza Vittorio Veneto - Pilcante, 19 38061";ALA;0464-672588;;pilcante.presidente@fpsm.tn.it;;pilcante.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pinzolo";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Via Al Sole, 43 38086";PINZOLO;0465-501019;;pinzolo.presidente@fpsm.tn.it;;pinzolo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pinzolo";"Scuola dell'Infanzia di Pinzolo";;Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Via Al Sole, 43 38086";PINZOLO;0465-501019;;pinzolo.presidente@fpsm.tn.it;;pinzolo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Ponte Arche";;"Scuola dell'infanzia";Paritaria/equiparata;;;"LORENZO SANTORUM";"Via S Giovanni Bosco - Ponte Arche - Bleggio Inferiore, 7 38070";"COMANO TERME";0465-702422;;ponte.arche.presidente@fpsm.tn.it;;ponte.arche.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Ponte Arche";"Scuola dell'Infanzia di Ponte Arche";;Paritaria/equiparata;;;"LORENZO SANTORUM";"Via S Giovanni Bosco - Ponte Arche - Bleggio Inferiore, 7 38070";"COMANO TERME";0465-702422;;ponte.arche.presidente@fpsm.tn.it;;ponte.arche.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Povo";;"Scuola dell'infanzia";Paritaria/equiparata;;;"IVANA LEONARDELLI";"Via Pante', 1 38123";TRENTO;0461-810049;;povo.presidente@fpsm.tn.it;;povo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Povo";"Scuola dell'Infanzia di Povo";;Paritaria/equiparata;;;"IVANA LEONARDELLI";"Via Pante', 1 38123";TRENTO;0461-810049;;povo.presidente@fpsm.tn.it;;povo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pozza di Trambileno";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ROBERTA MEDEGHINI";"Frazione Vanza, 50 38068";TRAMBILENO;0464-868074;;trambileno.presidente@fpsm.tn.it;;trambileno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pozza di Trambileno";"Scuola dell'Infanzia di Pozza di Trambileno";;Paritaria/equiparata;;;"ROBERTA MEDEGHINI";"Frazione Vanza, 50 38068";TRAMBILENO;0464-868074;;trambileno.presidente@fpsm.tn.it;;trambileno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pressano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAMELA TOMASELLI";"Via Pilati, 16 38015";LAVIS;0461-240394;;pressano.presidente@fpsm.tn.it;;pressano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pressano";"Scuola dell'Infanzia di Pressano";;Paritaria/equiparata;;;"PAMELA TOMASELLI";"Via Pilati, 16 38015";LAVIS;0461-240394;;pressano.presidente@fpsm.tn.it;;pressano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Quadra - Cavrasto";;"Scuola dell'infanzia";Paritaria/equiparata;;;"LORENZO SANTORUM";"Frazione Larido, 10 38071";"BLEGGIO SUPERIORE";0465-779575;;quadra.cavrasto.presidente@fpsm.tn.it;;quadra.cavrasto.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Quadra - Cavrasto";"Scuola dell'Infanzia di Quadra - Cavrasto";;Paritaria/equiparata;;;"LORENZO SANTORUM";"Frazione Larido, 10 38071";"BLEGGIO SUPERIORE";0465-779575;;quadra.cavrasto.presidente@fpsm.tn.it;;quadra.cavrasto.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Riva ""Degasperi""";;"Scuola dell'infanzia";Paritaria/equiparata;;;"LUISA FONTANARI";"Largo Caduti delle Foibe, 2 38066";"RIVA DEL GARDA";0464-553578;;riva.rione.presidente@fpsm.tn.it;;riva.rione.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Riva ""Degasperi""";"Scuola dell'Infanzia di Riva  ""Degasperi""";;Paritaria/equiparata;;;"LUISA FONTANARI";"Largo Caduti delle Foibe, 2 38066";"RIVA DEL GARDA";0464-553578;;riva.rione.presidente@fpsm.tn.it;;riva.rione.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Riva del Garda  ""S. Alessandro""";;"Scuola dell'infanzia";Paritaria/equiparata;;;"LUISA FONTANARI";"Via S Alessandro, 10 38066";"RIVA DEL GARDA";0464-554051;;s.alessandro.presidente@fpsm.tn.it;;s.alessandro.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Riva del Garda  ""S. Alessandro""";"Scuola dell'Infanzia di Riva del Garda  ""S. Alessandro""";;Paritaria/equiparata;;;"LUISA FONTANARI";"Via S Alessandro, 10 38066";"RIVA DEL GARDA";0464-554051;;s.alessandro.presidente@fpsm.tn.it;;s.alessandro.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Roncegno";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAOLA SANGIORGI";"Via Baldessari, 15 38050";"RONCEGNO TERME";0461-764199;;roncegno.presidente@fpsm.tn.it;;roncegno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Roncegno";"Scuola dell'Infanzia di Roncegno";;Paritaria/equiparata;;;"PAOLA SANGIORGI";"Via Baldessari, 15 38050";"RONCEGNO TERME";0461-764199;;roncegno.presidente@fpsm.tn.it;;roncegno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Ronchi Valsugana";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAOLA SANGIORGI";"Via Marchi, 14 38050";"RONCHI VALSUGANA";0461-773197;;ronchi.valsugana.presidente@fpsm.tn.it;;ronchi.valsugana.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Ronchi Valsugana";"Scuola dell'Infanzia di Ronchi Valsugana";;Paritaria/equiparata;;;"PAOLA SANGIORGI";"Via Marchi, 14 38050";"RONCHI VALSUGANA";0461-773197;;ronchi.valsugana.presidente@fpsm.tn.it;;ronchi.valsugana.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Telve";;"Scuola dell'infanzia";Paritaria/equiparata;;;"PAOLA SANGIORGI";"Via Paradiso, 1 38050";TELVE;0461-766315;;telve.presidente@fpsm.tn.it;;telve.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Telve";"Scuola dell'Infanzia di Telve";;Paritaria/equiparata;;;"PAOLA SANGIORGI";"Via Paradiso, 1 38050";TELVE;0461-766315;;telve.presidente@fpsm.tn.it;;telve.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Tenno";;"Scuola dell'infanzia";Paritaria/equiparata;;;"LUISA FONTANARI";"Via Brocchetti, 53 38060";TENNO;0464-503034;;tenno.presidente@fpsm.tn.it;;tenno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Tenno";"Scuola dell'Infanzia di Tenno";;Paritaria/equiparata;;;"LUISA FONTANARI";"Via Brocchetti, 53 38060";TENNO;0464-503034;;tenno.presidente@fpsm.tn.it;;tenno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Tezze Valsugana";;"Scuola dell'infanzia";Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Via Marconi, 8/A 38055";GRIGNO;0461-769192;;tezze.presidente@fpsm.tn.it;;tezze.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Tezze Valsugana";"Scuola dell'Infanzia di Tezze Valsugana";;Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Via Marconi, 8/A 38055";GRIGNO;0461-769192;;tezze.presidente@fpsm.tn.it;;tezze.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Tonadico";;"Scuola dell'infanzia";Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Via Fuganti - Tonadico, 8 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439-762062;;tonadico.segretario@fpsm.tn.it;;tonadico.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Tonadico";"Scuola dell'Infanzia di Tonadico";;Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Via Fuganti - Tonadico, 8 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439-762062;;tonadico.segretario@fpsm.tn.it;;tonadico.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Torbole";;"Scuola dell'infanzia";Paritaria/equiparata;;;"LUISA FONTANARI";"Via Don Davide Gioppi, 72 38069";NAGO-TORBOLE;0464-505159;;torbole.presidente@fpsm.tn.it;;torbole.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Torbole";"Scuola dell'Infanzia di Torbole";;Paritaria/equiparata;;;"LUISA FONTANARI";"Via Don Davide Gioppi, 72 38069";NAGO-TORBOLE;0464-505159;;torbole.presidente@fpsm.tn.it;;torbole.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Transacqua";;"Scuola dell'infanzia";Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Piazza Municipio - Transacqua, 11 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439-62313;;transacqua.presidente@fpsm.tn.it;;transacqua.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Transacqua";"Scuola dell'Infanzia di Transacqua";;Paritaria/equiparata;;;"DANIELA DALCASTAGNE'";"Piazza Municipio - Transacqua, 11 38054";"PRIMIERO SAN MARTINO DI CASTROZZA";0439-62313;;transacqua.presidente@fpsm.tn.it;;transacqua.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Trento  ""Pedrotti""";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SANDRA CIAPPI";"Via Asilo Pedrotti, 2 38122";TRENTO;0461-914039;;trento.pedrotti.presidente@fpsm.tn.it;;trento.pedrotti.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Trento  ""Pedrotti""";"Scuola dell'Infanzia di Trento  ""Pedrotti""";;Paritaria/equiparata;;;"SANDRA CIAPPI";"Via Asilo Pedrotti, 2 38122";TRENTO;0461-914039;;trento.pedrotti.presidente@fpsm.tn.it;;trento.pedrotti.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Trento  S. Bartolomeo";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SANDRA CIAPPI";"Viale Dei Tigli, 9/1 38123";TRENTO;0461-924555;;trento.s.bartolomeo.segretario@fpsm.tn.it;;trento.s.bartolomeo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Trento  S. Bartolomeo";"Scuola dell'Infanzia di Trento  S. Bartolomeo";;Paritaria/equiparata;;;"SANDRA CIAPPI";"Viale Dei Tigli, 9/1 38123";TRENTO;0461-924555;;trento.s.bartolomeo.segretario@fpsm.tn.it;;trento.s.bartolomeo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Trento Cognola  ""B. Kofler""";;"Scuola dell'infanzia";Paritaria/equiparata;;;"IVANA LEONARDELLI";"Via Kofler, 10 38121";TRENTO;"0461 235069";"0461 983903";cognola.segretario@fpsm.tn.it;;cognola.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Trento Cognola  ""B. Kofler""";"Scuola dell'Infanzia di Trento Cognola ""B. Kofler""";;Paritaria/equiparata;;;"IVANA LEONARDELLI";"Via Kofler, 10 38121";TRENTO;"0461 235069";"0461 983903";cognola.segretario@fpsm.tn.it;;cognola.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Trento La Clarina";;"Scuola dell'infanzia";Paritaria/equiparata;;;"SANDRA CIAPPI";"Via Einaudi, 66 38123";TRENTO;0461-923464;;trento.clarina.presidente@fpsm.tn.it;;trento.clarina.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Trento La Clarina";"Scuola dell'Infanzia di Trento La Clarina";;Paritaria/equiparata;;;"SANDRA CIAPPI";"Via Einaudi, 66 38123";TRENTO;0461-923464;;trento.clarina.presidente@fpsm.tn.it;;trento.clarina.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Trento San Donà ""B. Kofler""";;"Scuola dell'infanzia";Paritaria/equiparata;;;"IVANA LEONARDELLI";"Via per Cognola, 43 38122";TRENTO;"0461 260977";"0461 983903";cognola.segretario@fpsm.tn.it;;trento.san.dona.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Trento San Donà ""B. Kofler""";"Scuola dell'Infanzia di Trento San Donà ""B. Kofler""";;Paritaria/equiparata;;;"IVANA LEONARDELLI";"Via per Cognola, 43 38122";TRENTO;"0461 260977";"0461 983903";cognola.segretario@fpsm.tn.it;;trento.san.dona.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Varone";;"Scuola dell'infanzia";Paritaria/equiparata;;;"LUISA FONTANARI";"Via Sega, 5 38066";"RIVA DEL GARDA";0464-521350;;varone.presidente@fpsm.tn.it;;varone.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Varone";"Scuola dell'Infanzia di Varone";;Paritaria/equiparata;;;"LUISA FONTANARI";"Via Sega, 5 38066";"RIVA DEL GARDA";0464-521350;;varone.presidente@fpsm.tn.it;;varone.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Vermiglio";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ROBERTA BERTOLAS";"Via di S Pietro, 26 38029";VERMIGLIO;0463-758141;;vermiglio.presidente@fpsm.tn.it;;vermiglio.segretario@fpsm.tn.it;;
