main institute;institute type;administration type;manager;director;educational coordinator;address;municipality;telephone;fax;institute email;management email;secretary's office email;website;miur code;vivoscuola institute link;wikipedia municipality link
centro formazione professionale upt - tione di trento;istituzione scolastica e formativa;paritaria/equiparata;;maurizio cadonna ;;via roma, 15 38079;tione di trento;0465321889;0465/324518;cfp-upt@pec.it;;segreteria.tione@cfp-upt.it;https://www.cfp-upt.it;;https://www.vivoscuola.it/content/view/full/29280;https://it.wikipedia.org/wiki/Tione_di_Trento
centro formazione professionale upt - trento;istituzione scolastica e formativa;paritaria/equiparata;;walter iori;;via borsieri, 2 38122;trento;0461239997;0461/260235;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;tncf003001;https://www.vivoscuola.it/content/view/full/29282;https://it.wikipedia.org/wiki/Trento
circolo di coordinamento n. 1;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;katia pegoretti;viale dante, 5 38057;pergine valsugana;0461493491;0461/493495;circolo.coordinamento01@provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;https://it.wikipedia.org/wiki/Pergine_Valsugana
circolo di coordinamento n. 10;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;ginevra rella;viale trento, 37/e 38068;rovereto;0464493114;0464/493115;circolo.coordinamento10@provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29302;https://it.wikipedia.org/wiki/Rovereto
circolo di coordinamento n. 11;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;simonetta errigo;via della gana, 10 38027;malé;0461491939;0461/491940;circolo.coordinamento11@provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29311;https://it.wikipedia.org/wiki/Mal%C3%A9_(Italia)
circolo di coordinamento n. 2;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;helene giacomelli;via temanza, 4 38051;borgo valsugana;0461491980;0461 491976;circolo.coordinamento02@provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29326;https://it.wikipedia.org/wiki/Borgo_Valsugana
circolo di coordinamento n. 3;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;chiara nadalon;via gilli, 3 38121;trento;0461496000;0461/497257;circolo.coordinamento03@provincia.tn.it;;circolo.coordinamento03@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29339;https://it.wikipedia.org/wiki/Trento
circolo di coordinamento n. 4;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;rita ferenzena;via gilli, 3 38121;trento;0461496000;0461/496950;circolo.coordinamento04@provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29348;https://it.wikipedia.org/wiki/Trento
circolo di coordinamento n. 5;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;martina bassetti;via gilli, 3 38121;trento;0461496000;0461/497257;circolo.coordinamento05@provincia.tn.it;;circolo.coordinamento05@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29355;https://it.wikipedia.org/wiki/Trento
circolo di coordinamento n. 6;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;valentina rizzon;via gilli, 3 38121;trento;0461496000;0461/499283;circolo.coordinamento06@provincia.tn.it;;circolo.coordinamento06@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29364;https://it.wikipedia.org/wiki/Trento
circolo di coordinamento n. 7;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;laura bertoldi;via filos, 2 38017;mezzolombardo;0461494331;0461/494334;circolo.coordinamento07@provincia.tn.it;;circolo.coordinamento07@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29372;https://it.wikipedia.org/wiki/Mezzolombardo
circolo di coordinamento n. 8;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;maria teresa scarpellini;via circonvallazione, 65 38079;tione di trento;0461493385;0461/493389;circolo.coordinamento08@provincia.tn.it;;circolo.coordinamento08@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29384;https://it.wikipedia.org/wiki/Tione_di_Trento
circolo di coordinamento n. 9;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;donatella segnana;viale trento, 37/e 38068;rovereto;0464493116;0464/493117;circolo.coordinamento09@provincia.tn.it;;circolo.coordinamento09@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29394;https://it.wikipedia.org/wiki/Rovereto
collegio arcivescovile c.endrici - trento;istituzione scolastica e formativa;paritaria/equiparata;christian bonazza;bruno daves;;via monsignor  endrici, 23 38122;trento;04611731200;0461/1731288;collegioarcivescovile@pec.it;collegioarcivescovile@arcivescoviletrento.it;didatticatn@arcivescoviletrento.it;https://www.arcivescoviletrento.it;;https://www.vivoscuola.it/content/view/full/29229;https://it.wikipedia.org/wiki/Trento
collegio arcivescovile dame inglesi - rovereto;istituzione scolastica e formativa;paritaria/equiparata;christian bonazza;bruno daves;;corso bettini, 71 38068;rovereto;0464406000;0464/406077;collegioarcivescovile@pec.it;dameinglesi@arcivescoviletrento.it;lia@arcivescoviletrento.it;https://www.arcivescoviletrento.it;;https://www.vivoscuola.it/content/view/full/29237;https://it.wikipedia.org/wiki/Rovereto
cooperativa sociale sacra famiglia onlus;istituzione scolastica e formativa;paritaria/equiparata;marcello sottopietra;;;via della saluga, 7 38121;trento;0461080041;;cooperativasacrafamiglia@pec.it;segreteria@sacrafamigliatrento.it;segreteria@sacrafamigliatrento.it;https://www.sacrafamigliatrento.it;;https://www.vivoscuola.it/content/view/full/29244;https://it.wikipedia.org/wiki/Trento
coordinamento pedagogico scuole provinciali dell'infanzia ladine;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;tatiana soraperra;strada giuseppe soraperra - pozza di fassa, 6 38036;san giovanni di fassa;0462760340;0462/760001;coordinamento.scuoleladine@provincia.tn.it;;coordinamento.scuoleladine@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29405;https://it.wikipedia.org/wiki/San_Giovanni_di_Fassa
fondazione edmund mach - istituto agrario san michele all'adige;istituzione scolastica e formativa;paritaria/equiparata;manuel penasa;claudia bisognin;;via mach, 1 38098;san michele all'adige;0461615213;0461/615273;amministrazione.cif@pec.iasma.it;;segreteria.scuola@fmach.it;https://www.fmach.it;;https://www.vivoscuola.it/content/view/full/29409;https://it.wikipedia.org/wiki/San_Michele_all%27Adige
"istituto comprensivo ala ""antonio bresciani""";istituzione scolastica e formativa;a carattere statale/provinciale;maura maino;;;via don anzelini, 2 38061;ala;0464671119;0464/674138;ic.ala@pec.provincia.tn.it;dir.ic.ala@scuole.provincia.tn.it;segr.ic.ala@scuole.provincia.tn.it;https://www.istitutocomprensivoala.it;tnic84800q;https://www.vivoscuola.it/content/view/full/29421;https://it.wikipedia.org/wiki/Ala_(Italia)
istituto comprensivo aldeno mattarello;istituzione scolastica e formativa;a carattere statale/provinciale;michele ruele;;;via della torre franca, 1 38123;trento;0461945237;0464/946007;ic.aldeno-mattarello@pec.provincia.tn.it;dir.aldeno.mattarello@scuole.provincia.tn.it;segr.aldeno.mattarello@scuole.provincia.tn.it;https://www.icaldenomattarello.it;tnic82100q;https://www.vivoscuola.it/content/view/full/29425;https://it.wikipedia.org/wiki/Trento
istituto comprensivo alta val di sole;istituzione scolastica e formativa;a carattere statale/provinciale;franco vanin;;;via s michele, 11 38026;ossana;0463751129;0463/750043;ic.altavaldisole@pec.provincia.tn.it;dir.icaltavaldisole@scuole.provincia.tn.it;segr.icaltavaldisole@scuole.provincia.tn.it;https://www.icaltavaldisole.it;tnic832006;https://www.vivoscuola.it/content/view/full/29432;https://it.wikipedia.org/wiki/Ossana
istituto comprensivo alta vallagarina;istituzione scolastica e formativa;a carattere statale/provinciale;pasquale tappa;;;via stazione, 30 38060;volano;0464410475;0461/490699;ic.altavallagarina@pec.provincia.tn.it;dir.ic.altavallagarina@scuole.provincia.tn.it;segr.ic.altavallagarina@scuole.provincia.tn.it;https://www.ic-altavallagarina.it;tnic86000a;https://www.vivoscuola.it/content/view/full/29440;https://it.wikipedia.org/wiki/Volano_(Italia)
istituto comprensivo altopiano di pine';istituzione scolastica e formativa;a carattere statale/provinciale;elisabetta pizio;;;via del xxvi maggio - baselga, 6 38042;baselga di piné;0461557138;0461/558163;ic.pine@pec.provincia.tn.it;dir.ic.altopianodipine@scuole.provincia.tn.it;segr.ic.altopianodipine@scuole.provincia.tn.it;https://www.icpine.eu;tnic816008;https://www.vivoscuola.it/content/view/full/29445;https://it.wikipedia.org/wiki/Baselga_di_Pin%C3%A9
istituto comprensivo arco;istituzione scolastica e formativa;a carattere statale/provinciale;paola maroni;;;localita prabi,   38062;arco;0464516429;0464/517064;ic.arco@pec.provincia.tn.it;dir.ic.arco@scuole.provincia.tn.it;segr.ic.arco@scuole.provincia.tn.it;https://www.icarco.edu.it;tnic840005;https://www.vivoscuola.it/content/view/full/29450;https://it.wikipedia.org/wiki/Arco_(Italia)
istituto comprensivo avio;istituzione scolastica e formativa;a carattere statale/provinciale;niccolo' dai pra';;;viale degasperi, 69 38063;avio;0464684029;0464/687570;ic.avio@pec.provincia.tn.it;dir.ic.avio@scuole.provincia.tn.it;segr.ic.avio@scuole.provincia.tn.it;https://www.istitutoavio.it;tnic84700x;https://www.vivoscuola.it/content/view/full/29456;https://it.wikipedia.org/wiki/Avio
istituto comprensivo bassa anaunia - tuenno;istituzione scolastica e formativa;a carattere statale/provinciale;licia campi;;;via colle verde, 3 38010;denno;0461655783;0461/655783;ic.bassaanaunia@pec.provincia.tn.it;dir.ic.bassaanauniatuenno@scuole.provincia.tn.it;segr.ic.denno@scuole.provincia.tn.it;https://www.icbassaanauniatuenno.it;tnic82900a;https://www.vivoscuola.it/content/view/full/29461;https://it.wikipedia.org/wiki/Denno
"istituto comprensivo bassa val di sole ""g. ciccolini""";istituzione scolastica e formativa;a carattere statale/provinciale;nicola parzian;;;via taddei de mauris, 4 38027;malé;0463901237;0463/902866;ic.bassavaldisole@pec.provincia.tn.it;dir.ciccolini.male@scuole.provincia.tn.it;segr.ciccolini.male@scuole.provincia.tn.it;https://www.icbassavaldisole.it;tnic833002;https://www.vivoscuola.it/content/view/full/29470;https://it.wikipedia.org/wiki/Mal%C3%A9_(Italia)
istituto comprensivo borgo valsugana;istituzione scolastica e formativa;a carattere statale/provinciale;luigi vitullo;;;via spagolla, 1 38051;borgo valsugana;0461753179;0461/754131;ic.borgovalsugana@pec.provincia.tn.it;dir.ic.borgovalsugana@scuole.provincia.tn.it;segr.ic.borgovalsugana@scuole.provincia.tn.it;http://www.icborgovalsugana.edu.it/;tnic812001;https://www.vivoscuola.it/content/view/full/29477;https://it.wikipedia.org/wiki/Borgo_Valsugana
istituto comprensivo brentonico;istituzione scolastica e formativa;a carattere statale/provinciale;enrica rigotti;;;via calzolari - localita fontana, 2 38060;brentonico;0464395189;0464/392710;ic.brentonico@pec.provincia.tn.it;dir.ic.brentonico@scuole.provincia.tn.it;segr.ic.brentonico@scuole.provincia.tn.it;https://www.icbrentonico.it/;tnic861006;https://www.vivoscuola.it/content/view/full/63288;https://it.wikipedia.org/wiki/Brentonico
istituto comprensivo cavalese;istituzione scolastica e formativa;a carattere statale/provinciale;roberto trolli;;;piazza verdi, 6 38033;cavalese;0462340314;0462/342294;ic.cavalese@pec.provincia.tn.it;dir.cavalese@scuole.provincia.tn.it;segr.cavalese@scuole.provincia.tn.it;https://www.iccavalese.it;tnic809005;https://www.vivoscuola.it/content/view/full/29482;https://it.wikipedia.org/wiki/Cavalese
istituto comprensivo cembra;istituzione scolastica e formativa;a carattere statale/provinciale;stefano chesini;;;via negritelle - cembra, 1 38034;cembra lisignago;0461683006;0461/682166;ic.cembra@pec.provincia.tn.it;dir.cembra@scuole.provincia.tn.it;segr.cembra@scuole.provincia.tn.it;https://www.iccembra.it;tnic82200g;https://www.vivoscuola.it/content/view/full/29492;https://it.wikipedia.org/wiki/Cembra_Lisignago
istituto comprensivo centro valsugana;istituzione scolastica e formativa;a carattere statale/provinciale;loredana montanaro;;;via don meggio, 2/a 38050;roncegno terme;0461764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;https://www.iccentrovalsugana.it;tnic81300r;https://www.vivoscuola.it/content/view/full/29502;https://it.wikipedia.org/wiki/Roncegno_Terme
istituto comprensivo civezzano;istituzione scolastica e formativa;a carattere statale/provinciale;venera munafo';;;via murialdo, 27 38045;civezzano;0461858485;0461/858901;ic.civezzano@pec.provincia.tn.it;dir.i.c.civezzano@scuole.provincia.tn.it;segr.i.c.civezzano@scuole.provincia.tn.it;https://www.iccivezzano.eu;tnic817004;https://www.vivoscuola.it/content/view/full/29511;https://it.wikipedia.org/wiki/Civezzano
"istituto comprensivo cles ""b. clesio""";istituzione scolastica e formativa;a carattere statale/provinciale;massimo gaburro;;;via chini, 31 38023;cles;0463421457;0463/424830;ic.cles@pec.provincia.tn.it;dir.ic.cles@scuole.provincia.tn.it;segr.ic.cles@scuole.provincia.tn.it;https://www.iccles.it;tnic83100a;https://www.vivoscuola.it/content/view/full/29518;https://it.wikipedia.org/wiki/Cles
"istituto comprensivo del chiese ""don l. milani""";istituzione scolastica e formativa;a carattere statale/provinciale;romeo collini;;;via papaleoni, 5 38089;storo;0465686039;0465/687076;ic.chiese-storo@pec.provincia.tn.it;dir.ic.chiese@scuole.provincia.tn.it;segr.ic.chiese@scuole.provincia.tn.it;https://www.istitutodelchiese.it;tnic838005;https://www.vivoscuola.it/content/view/full/29523;https://it.wikipedia.org/wiki/Storo
istituto comprensivo di scuola primaria e secondaria di primiero;istituzione scolastica e formativa;a carattere statale/provinciale;maria prodi;;;via delle fonti - transacqua, 10 38054;primiero san martino di castrozza;043962435;0439/762466;ic.primiero@pec.provincia.tn.it;dir.icprimiero@scuole.provincia.tn.it;segr.icprimiero@scuole.provincia.tn.it;https://www.scuoleprimiero.it;tnic810009;https://www.vivoscuola.it/content/view/full/29530;https://it.wikipedia.org/wiki/Primiero_San_Martino_di_Castrozza
istituto comprensivo folgaria - lavarone - luserna;istituzione scolastica e formativa;a carattere statale/provinciale;morena manfrin;;;piazza marconi, 85 38064;folgaria;0464721283;;ic.folgaria-lavarone@pec.provincia.tn.it;dir.rella.folgaria@scuole.provincia.tn.it;segr.rella.folgaria@scuole.provincia.tn.it;https://www.icfolgarialavaroneluserna.it;tnic804002;https://www.vivoscuola.it/content/view/full/29541;https://it.wikipedia.org/wiki/Folgaria
istituto comprensivo fondo - revo';istituzione scolastica e formativa;a carattere statale/provinciale;miriam predelli;;;via laviosa zambotti - fondo, 24 38020;borgo d'anaunia;0463831134;0463/831746;ic.fondo@pec.provincia.tn.it;dir.ic.fondo@scuole.provincia.tn.it;segr.ic.fondo@scuole.provincia.tn.it;https://www.icfondorevo.it;tnic82800e;https://www.vivoscuola.it/content/view/full/29550;https://it.wikipedia.org/wiki/Borgo_d%27Anaunia
istituto comprensivo giudicarie esteriori;istituzione scolastica e formativa;a carattere statale/provinciale;bruno gentilini;;;via s giovanni bosco - ponte arche - bleggio inferiore, 14 38070;comano terme;0465701472;0465/702452;ic.giudicarieesteriori@pec.provincia.tn.it;dir.ic.pontearche@scuole.provincia.tn.it;segr.ic.pontearche@scuole.provincia.tn.it;https://www.giudicariescuola.it;tnic837009;https://www.vivoscuola.it/content/view/full/29561;https://it.wikipedia.org/wiki/Comano_Terme
istituto comprensivo isera - rovereto;istituzione scolastica e formativa;a carattere statale/provinciale;francesca borroi;;;viale della vittoria, 43 38068;rovereto;0464431515;0464/489616;ic.isera-rovereto@pec.provincia.tn.it;dir.ic.isera_rovereto@scuole.provincia.tn.it;segr.ic.isera_rovereto@scuole.provincia.tn.it;https://www.isera-rovereto.it;tnic845008;https://www.vivoscuola.it/content/view/full/29569;https://it.wikipedia.org/wiki/Rovereto
istituto comprensivo lavis;istituzione scolastica e formativa;a carattere statale/provinciale;francesca lasaracina;;;via sette, 13 38015;lavis;0461246535;0461/242955;ic.lavis@pec.provincia.tn.it;dir.ic.lavis@scuole.provincia.tn.it;segr.ic.lavis@scuole.provincia.tn.it;https://www.iclavis.it;tnic825003;https://www.vivoscuola.it/content/view/full/29573;https://it.wikipedia.org/wiki/Lavis
istituto comprensivo levico terme;istituzione scolastica e formativa;a carattere statale/provinciale;ezio montibeller;;;via della pace, 5 38056;levico terme;0461706146;0461/706099;ic.levicoterme@pec.provincia.tn.it;dir.ic.levico@scuole.provincia.tn.it;segr.ic.levico@scuole.provincia.tn.it;https://www.iclevico.eu;tnic81800x;https://www.vivoscuola.it/content/view/full/29578;https://it.wikipedia.org/wiki/Levico_Terme
istituto comprensivo mezzocorona;istituzione scolastica e formativa;a carattere statale/provinciale;paola sigmund;;;via fornai, 1 38016;mezzocorona;0461605409;0461/605142;ic.mezzocorona@pec.provincia.tn.it;dir.ic.mezzocorona@scuole.provincia.tn.it;segr.ic.mezzocorona@scuole.provincia.tn.it;https://www.icmezzocorona.it;tnic82300b;https://www.vivoscuola.it/content/view/full/29584;https://it.wikipedia.org/wiki/Mezzocorona
istituto comprensivo mezzolombardo - paganella;istituzione scolastica e formativa;a carattere statale/provinciale;cinzia casna;;;via degli alpini, 17 38017;mezzolombardo;0461601125;0461/601125;ic.mezzolombardo@pec.provincia.tn.it;dir.ic.mezzolombardo@scuole.provincia.tn.it;segr.ic.mezzolombardo@scuole.provincia.tn.it;https://icmezzolombardopaganella.edu.it;tnic824007;https://www.vivoscuola.it/content/view/full/29590;https://it.wikipedia.org/wiki/Mezzolombardo
istituto comprensivo mori;istituzione scolastica e formativa;a carattere statale/provinciale;massimiliano latino;;;via giovanni xxiii, 64 38065;mori;0464918669;;ic.mori@pec.provincia.tn.it;dir.ic.mori@scuole.provincia.tn.it;segr.ic.mori@scuole.provincia.tn.it;https://www.icmori.it/;tnic84900g;https://www.vivoscuola.it/content/view/full/29600;https://it.wikipedia.org/wiki/Mori_(Italia)
istituto comprensivo pergine 1;istituzione scolastica e formativa;a carattere statale/provinciale;daniela fruet;;;via monte cristallo, 2 38057;pergine valsugana;0461532261;0461/533167;ic.pergine1@pec.provincia.tn.it;dir.ic.pergine1@scuole.provincia.tn.it;segr.ic.pergine1@scuole.provincia.tn.it;https://www.icpergine1.it/;tnic81400l;https://www.vivoscuola.it/content/view/full/29606;https://it.wikipedia.org/wiki/Pergine_Valsugana
"istituto comprensivo pergine 2 ""c. freinet""";istituzione scolastica e formativa;a carattere statale/provinciale;stefano morelato;;;via amstetten, 4 38057;pergine valsugana;0461512312;0461/530043;ic.pergine2@pec.provincia.tn.it;dir.freinet@scuole.provincia.tn.it;segr.freinet@scuole.provincia.tn.it;https://www.icpergine2.it;tnic81500c;https://www.vivoscuola.it/content/view/full/29613;https://it.wikipedia.org/wiki/Pergine_Valsugana
istituto comprensivo predazzo tesero panchia' ziano;istituzione scolastica e formativa;a carattere statale/provinciale;marco felicetti;;;corso degasperi, 8 38037;predazzo;0462501131;0462/500023;ic.predazzo@pec.provincia.tn.it;dir.ic.predazzo@scuole.provincia.tn.it;segr.ic.predazzo@scuole.provincia.tn.it;https://www.ic-predazzotesero.it;tnic808009;https://www.vivoscuola.it/content/view/full/29619;https://it.wikipedia.org/wiki/Predazzo
istituto comprensivo riva 1;istituzione scolastica e formativa;a carattere statale/provinciale;paola bortolotti;;;viale damiano chiesa, 10 38066;riva del garda;0464553088;0464/553088;riva1@pec.provincia.tn.it;dir.riva1@scuole.provincia.tn.it;segr.riva1@scuole.provincia.tn.it;https://www.riva1.it;tnic841001;https://www.vivoscuola.it/content/view/full/29625;https://it.wikipedia.org/wiki/Riva_del_Garda
"istituto comprensivo riva 2 ""l. pizzini""";istituzione scolastica e formativa;a carattere statale/provinciale;maurizio caproni;;;piazza contini, 8 38066;riva del garda;0464552170;0464/520789;ic.riva2@pec.provincia.tn.it;dir.ic.riva2@scuole.provincia.tn.it;segr.ic.riva2@scuole.provincia.tn.it;https://www.riva2.it;tnic84200r;https://www.vivoscuola.it/content/view/full/29631;https://it.wikipedia.org/wiki/Riva_del_Garda
istituto comprensivo rovereto est;istituzione scolastica e formativa;a carattere statale/provinciale;michele rosa;;;corso rosmini, 86 38068;rovereto;0464433709;0464/450456;ic.roveretoest@pec.provincia.tn.it;dir.ic.roveretoest@scuole.provincia.tn.it;segr.ic.roveretoest@scuole.provincia.tn.it;https://www.roveretoest.it;tnic853007;https://www.vivoscuola.it/content/view/full/29637;https://it.wikipedia.org/wiki/Rovereto
istituto comprensivo rovereto nord;istituzione scolastica e formativa;a carattere statale/provinciale;tiziana chiara pasquini;;;corso bettini, 67 38068;rovereto;0464420759;0464/480415;ic.roveretonord@pec.provincia.tn.it;dir.ic.roveretonord@scuole.provincia.tn.it;segr.ic.roveretonord@scuole.provincia.tn.it;https://www.icroveretonord.it;tnic859006;https://www.vivoscuola.it/content/view/full/29643;https://it.wikipedia.org/wiki/Rovereto
