school;address;municipality;telephone;institute email;miur code;vivoscuola institute link;wikipedia municipality link;vivoscuola school link
capes - settore servizi;via caltrezza, 13 38038;tesero;0462813133;cfp.tesero@pec.it;tncf004007;https://www.vivoscuola.it/content/view/full/29257;https://it.wikipedia.org/wiki/Tesero;https://www.vivoscuola.it/content/view/full/170195
settore industria e artigianato;via caltrezza, 13 38038;tesero;0462813133;cfp.tesero@pec.it;tnfp254sta;https://www.vivoscuola.it/content/view/full/29257;https://it.wikipedia.org/wiki/Tesero;https://www.vivoscuola.it/content/view/full/29258
settore servizi;via caltrezza, 13 38038;tesero;0462813133;cfp.tesero@pec.it;tnfp254sta;https://www.vivoscuola.it/content/view/full/29257;https://it.wikipedia.org/wiki/Tesero;https://www.vivoscuola.it/content/view/full/29259
capes - settore industria e artigianato;via durone, 57 38079;tione di trento;0465321316;cfp.tione@pec.it;tncf001001;https://www.vivoscuola.it/content/view/full/29260;https://it.wikipedia.org/wiki/Tione_di_Trento;https://www.vivoscuola.it/content/view/full/170196
capes - settore servizi;via durone, 57 38079;tione di trento;0465321316;cfp.tione@pec.it;tncf001001;https://www.vivoscuola.it/content/view/full/29260;https://it.wikipedia.org/wiki/Tione_di_Trento;https://www.vivoscuola.it/content/view/full/170197
settore industria e artigianato;via durone, 57 38079;tione di trento;0465321316;cfp.tione@pec.it;tncf001001;https://www.vivoscuola.it/content/view/full/29260;https://it.wikipedia.org/wiki/Tione_di_Trento;https://www.vivoscuola.it/content/view/full/29261
settore servizi;via durone, 57 38079;tione di trento;0465321316;cfp.tione@pec.it;tncf001001;https://www.vivoscuola.it/content/view/full/29260;https://it.wikipedia.org/wiki/Tione_di_Trento;https://www.vivoscuola.it/content/view/full/29262
capes - settore servizi;rione europa, 3 38066;riva del garda;0464521300;cfp.rivadelgarda@pec.it;tncf007001;https://www.vivoscuola.it/content/view/full/29263;https://it.wikipedia.org/wiki/Riva_del_Garda;https://www.vivoscuola.it/content/view/full/170198
settore servizi;rione europa, 3 38066;riva del garda;0464521300;cfp.rivadelgarda@pec.it;tncf007001;https://www.vivoscuola.it/content/view/full/29263;https://it.wikipedia.org/wiki/Riva_del_Garda;https://www.vivoscuola.it/content/view/full/29264
capes - settore industria e artigianato;via asiago, 14 38123;trento;0461920386;cfp.villazzano@pec.it;tncf008001;https://www.vivoscuola.it/content/view/full/29265;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/170199
settore industria e artigianato;via asiago, 14 38123;trento;0461920386;cfp.villazzano@pec.it;tncf008001;https://www.vivoscuola.it/content/view/full/29265;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29266
settore industria e artigianato serale;via asiago, 14 38123;trento;0461920386;cfp.villazzano@pec.it;;https://www.vivoscuola.it/content/view/full/29265;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29267
settore servizi;viale roma, 61 38056;levico terme;0461706145;cfplevico@pec.operaarmidabarelli.org;tnfp272sta;https://www.vivoscuola.it/content/view/full/29268;https://it.wikipedia.org/wiki/Levico_Terme;https://www.vivoscuola.it/content/view/full/29269
capes - settore servizi;via setaioli, 5 38068;rovereto;0464433771;cfprovereto@pec.operaarmidabarelli.org;tncf005001;https://www.vivoscuola.it/content/view/full/29270;https://it.wikipedia.org/wiki/Rovereto;https://www.vivoscuola.it/content/view/full/170200
settore servizi;via setaioli, 5 38068;rovereto;0464433771;cfprovereto@pec.operaarmidabarelli.org;tncf005001;https://www.vivoscuola.it/content/view/full/29270;https://it.wikipedia.org/wiki/Rovereto;https://www.vivoscuola.it/content/view/full/29271
capes - settore industria e artigianato;piazza di fiera, 4 38122;trento;0461270244;scuolagrafica@pec.artigianelli.tn.it;tncf004001;https://www.vivoscuola.it/content/view/full/29272;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/170201
settore industria e artigianato;piazza di fiera, 4 38122;trento;0461270244;scuolagrafica@pec.artigianelli.tn.it;tncf004001;https://www.vivoscuola.it/content/view/full/29272;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29273
capes - settore servizi;via gazzoletti - mogno, 10 38062;arco;0464556585;cfp-upt@pec.it;tncf005003;https://www.vivoscuola.it/content/view/full/29274;https://it.wikipedia.org/wiki/Arco_(Italia);https://www.vivoscuola.it/content/view/full/170202
settore servizi;via gazzoletti, 10 38062;arco;0464556585;cfp-upt@pec.it;tnfp261sta;https://www.vivoscuola.it/content/view/full/29274;https://it.wikipedia.org/wiki/Arco_(Italia);https://www.vivoscuola.it/content/view/full/29275
settore servizi;via del mercato, 9/a 38051;borgo valsugana;04611830221;cfp-upt@pec.it;tnfp273sta;https://www.vivoscuola.it/content/view/full/122609;https://it.wikipedia.org/wiki/Borgo_Valsugana;https://www.vivoscuola.it/content/view/full/122610
capes - settore servizi;via d agostin, 2 38023;cles;0463422820;cfp-upt@pec.it;tncf00600v;https://www.vivoscuola.it/content/view/full/29276;https://it.wikipedia.org/wiki/Cles;https://www.vivoscuola.it/content/view/full/170203
settore servizi;via d agostin, 2 38023;cles;0463422820;cfp-upt@pec.it;tnfp262sta;https://www.vivoscuola.it/content/view/full/29276;https://it.wikipedia.org/wiki/Cles;https://www.vivoscuola.it/content/view/full/29277
capes - settore servizi;via pasqui, 10 38068;rovereto;0464630050;cfp-upt@pec.it;tncf00900a;https://www.vivoscuola.it/content/view/full/29278;https://it.wikipedia.org/wiki/Rovereto;https://www.vivoscuola.it/content/view/full/439664
settore servizi;via pasqui, 10 38068;rovereto;0464630050;cfp-upt@pec.it;tnfp000001;https://www.vivoscuola.it/content/view/full/29278;https://it.wikipedia.org/wiki/Rovereto;https://www.vivoscuola.it/content/view/full/29279
capes - settore servizi;via roma, 15 38079;tione di trento;0465321889;cfp-upt@pec.it;tncf00700p;https://www.vivoscuola.it/content/view/full/29280;https://it.wikipedia.org/wiki/Tione_di_Trento;https://www.vivoscuola.it/content/view/full/170204
settore servizi;via roma, 15 38079;tione di trento;0465321889;cfp-upt@pec.it;tnfp263sta;https://www.vivoscuola.it/content/view/full/29280;https://it.wikipedia.org/wiki/Tione_di_Trento;https://www.vivoscuola.it/content/view/full/29281
capes - settore servizi;viale verona, 141 38123;trento;0461239997;cfp-upt@pec.it;tncf003001;https://www.vivoscuola.it/content/view/full/29282;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/170205
settore servizi;via borsieri, 2 38122;trento;0461239997;cfp-upt@pec.it;tncf003001;https://www.vivoscuola.it/content/view/full/29282;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29283
settore servizi serale;via borsieri, 2 38122;trento;0461239997;cfp-upt@pec.it;;https://www.vivoscuola.it/content/view/full/29282;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29284
scuola dell'infanzia di baselga di piné;via del municipio vecchio, 2 38042;baselga di piné;0461557640;scuolainfanzia.baselgadipine@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29288;https://it.wikipedia.org/wiki/Baselga_di_Pin%C3%A9;https://www.vivoscuola.it/content/view/full/29289
"scuola dell'infanzia di capriana ""maddalena lazzeri""";piazza scuole, 3 38030;capriana;0462816377;scuolainfanzia.capriana@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29288;https://it.wikipedia.org/wiki/Capriana;https://www.vivoscuola.it/content/view/full/29290
scuola dell'infanzia di casatta;frazione casatta, 54 38040;valfloriana;0462910249;scuolainfanzia.casatta@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29288;https://it.wikipedia.org/wiki/Valfloriana;https://www.vivoscuola.it/content/view/full/29291
scuola dell'infanzia di civezzano;via telvana, 4 38045;civezzano;0461858481;scuolainfanzia.civezzano@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29288;https://it.wikipedia.org/wiki/Civezzano;https://www.vivoscuola.it/content/view/full/29292
scuola dell'infanzia di daiano-varena;via mercato - varena, 22 38030;ville di fiemme;0462341301;scuolainfanzia.daianovarena@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29288;https://it.wikipedia.org/wiki/Ville_di_Fiemme;https://www.vivoscuola.it/content/view/full/180180
"scuola dell'infanzia di fierozzo ""himblring""";maso ronca, 9 38050;fierozzo;0461540044;scuolainfanzia.fierozzo@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29288;https://it.wikipedia.org/wiki/Fierozzo;https://www.vivoscuola.it/content/view/full/29294
scuola dell'infanzia di miola di pinè;via del dos di miola, 13 38042;baselga di piné;0461557950;scuolainfanzia.miola@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29288;https://it.wikipedia.org/wiki/Baselga_di_Pin%C3%A9;https://www.vivoscuola.it/content/view/full/29295
scuola dell'infanzia di molina di fiemme;via segherie, 64/c 38030;castello-molina di fiemme;0462230696;scuolainfanzia.molina@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29288;https://it.wikipedia.org/wiki/Castello-Molina_di_Fiemme;https://www.vivoscuola.it/content/view/full/29296
scuola dell'infanzia di piazze;via vittorino da feltre, 24 38043;bedollo;0461556518;scuolainfanzia.bedollo@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29288;https://it.wikipedia.org/wiki/Bedollo;https://www.vivoscuola.it/content/view/full/29297
"scuola dell'infanzia di rizzolaga di pinè ""raggio di sole""";frazione rizzolaga, 94 38042;baselga di piné;0461557629;scuolainfanzia.rizzolaga@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29288;https://it.wikipedia.org/wiki/Baselga_di_Pin%C3%A9;https://www.vivoscuola.it/content/view/full/29298
"scuola dell'infanzia di s. orsola ""il girotondo""";localita pintarei, 9 38050;sant'orsola terme;0461551163;scuolainfanzia.santorsola@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29288;https://it.wikipedia.org/wiki/Sant%27Orsola_Terme;https://www.vivoscuola.it/content/view/full/29299
"scuola dell'infanzia di seregnano ""arcobaleno""";via alla villa wolf - rovere, 4 38045;civezzano;0461858736;scuolainfanzia.seregnano@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29288;https://it.wikipedia.org/wiki/Civezzano;https://www.vivoscuola.it/content/view/full/29300
scuola dell'infanzia di besenello;via vanzetti, 3 38060;besenello;0464834946;scuolainfanzia.besenello@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29302;https://it.wikipedia.org/wiki/Besenello;https://www.vivoscuola.it/content/view/full/29303
"scuola dell'infanzia di calliano ""matite colorate""";via iii novembre, 33 38060;calliano;0464835165;scuolainfanzia.calliano@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29302;https://it.wikipedia.org/wiki/Calliano_(Trentino-Alto_Adige);https://www.vivoscuola.it/content/view/full/29304
scuola dell'infanzia di isera;vicolo zandonai,   38060;isera;0464437292;scuolainfanzia.isera@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29302;https://it.wikipedia.org/wiki/Isera;https://www.vivoscuola.it/content/view/full/29305
scuola dell'infanzia di nogaredo;via verdi, 38 38060;nogaredo;0464411244;scuolainfanzia.nogaredo@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29302;https://it.wikipedia.org/wiki/Nogaredo;https://www.vivoscuola.it/content/view/full/29306
"scuola dell'infanzia di pomarolo  ""don rainoldi""";via g.b. adami, 10 38060;pomarolo;0464410211;scuolainfanzia.pomarolo@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29302;https://it.wikipedia.org/wiki/Pomarolo;https://www.vivoscuola.it/content/view/full/29307
"scuola dell'infanzia di rovereto  s.ilario ""amici della scuola""";via monti, 4a 38068;rovereto;0464411901;scuolainfanzia.santilario@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29302;https://it.wikipedia.org/wiki/Rovereto;https://www.vivoscuola.it/content/view/full/29308
scuola dell'infanzia di rovereto brione;via puccini, 26 38068;rovereto;0464412892;scuolainfanzia.brione@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29302;https://it.wikipedia.org/wiki/Rovereto;https://www.vivoscuola.it/content/view/full/29309
"scuola dell'infanzia di rovereto rione nord ""mille colori""";via chiocchetti, 1 38068;rovereto;0464435355;scuolainfanzia.rionenord@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29302;https://it.wikipedia.org/wiki/Rovereto;https://www.vivoscuola.it/content/view/full/29310
scuola dell'infanzia di castelfondo;via madonna pellegrina, 5 38020;borgo d'anaunia;0463889189;scuolainfanzia.castelfondo@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29311;https://it.wikipedia.org/wiki/Borgo_d%27Anaunia;https://www.vivoscuola.it/content/view/full/29312
"scuola dell'infanzia di cavareno ""peter pan""";via castelli, 1 38011;cavareno;0463832426;scuolainfanzia.cavareno@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29311;https://it.wikipedia.org/wiki/Cavareno;https://www.vivoscuola.it/content/view/full/29313
scuola dell'infanzia di cogolo;via roma, 83 38024;peio;0463754108;scuolainfanzia.cogolo@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29311;https://it.wikipedia.org/wiki/Peio;https://www.vivoscuola.it/content/view/full/29314
"scuola dell'infanzia di livo ""battito d'ali""";via marconi, 17 38020;livo;0463533522;scuolainfanzia.livo@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29311;https://it.wikipedia.org/wiki/Livo_(Trentino-Alto_Adige);https://www.vivoscuola.it/content/view/full/29315
"scuola dell'infanzia di mezzana ""a. ravelli""";via manzoni, 22 38020;mezzana;0463756018;scuolainfanzia.mezzana@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29311;https://it.wikipedia.org/wiki/Mezzana;https://www.vivoscuola.it/content/view/full/29316
scuola dell'infanzia di mione rumo;frazione mione, 54 38020;rumo;0463530420;scuolainfanzia.rumo@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29311;https://it.wikipedia.org/wiki/Rumo;https://www.vivoscuola.it/content/view/full/29317
scuola dell'infanzia di monclassico;via berera - monclassico, 6 38025;dimaro folgarida;0463974606;scuolainfanzia.monclassico@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29311;https://it.wikipedia.org/wiki/Dimaro_Folgarida;https://www.vivoscuola.it/content/view/full/29318
"scuola dell'infanzia di pellizzano ""antonio bontempelli""";via dei baschenis, 3 38020;pellizzano;0463751953;scuolainfanzia.pellizzano@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29311;https://it.wikipedia.org/wiki/Pellizzano;https://www.vivoscuola.it/content/view/full/29320
scuola dell'infanzia di rabbi;frazione pracorno, 98/b 38020;rabbi;0463902652;scuolainfanzia.rabbi@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29311;https://it.wikipedia.org/wiki/Rabbi_(comune);https://www.vivoscuola.it/content/view/full/29321
"scuola dell'infanzia di romeno  ""città della gioia""";via monsignor rosati, 6 38010;romeno;0463875195;scuolainfanzia.romeno@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29311;https://it.wikipedia.org/wiki/Romeno_(Italia);https://www.vivoscuola.it/content/view/full/29322
scuola dell'infanzia di ruffrè;maso lana, 3 38010;ruffré-mendola;0463870011;scuolainfanzia.ruffre@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29311;https://it.wikipedia.org/wiki/Ruffr%C3%A9-Mendola;https://www.vivoscuola.it/content/view/full/29323
"scuola dell'infanzia di sarnonico ""giardino dei sogni""";viale s lorenzo, 6 38011;sarnonico;0463831603;scuolainfanzia.sarnonico@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29311;https://it.wikipedia.org/wiki/Sarnonico;https://www.vivoscuola.it/content/view/full/29324
"scuola dell'infanzia di terzolas ""caterina graifenberg""";via kessler, 23 38027;terzolas;0463901977;scuolainfanzia.terzolas@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29311;https://it.wikipedia.org/wiki/Terzolas;https://www.vivoscuola.it/content/view/full/29325
scuola dell'infanzia di bieno;via ammiraglio bettolo, 21 38050;bieno;0461596247;scuolainfanzia.bieno@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29326;https://it.wikipedia.org/wiki/Bieno;https://www.vivoscuola.it/content/view/full/29327
scuola dell'infanzia di bosentino;via alle scuole - bosentino, 12 38049;altopiano della vigolana;0461845133;scuolainfanzia.bosentino@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29326;https://it.wikipedia.org/wiki/Altopiano_della_Vigolana;https://www.vivoscuola.it/content/view/full/29328
"scuola dell'infanzia di caldonazzo ""maria bambina""";via asilo, 1 38052;caldonazzo;0461724658;scuolainfanzia.caldonazzo@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29326;https://it.wikipedia.org/wiki/Caldonazzo;https://www.vivoscuola.it/content/view/full/180181
"scuola dell'infanzia di canal san bovo ""lausen""";localita lausen, 13 38050;canal san bovo;0439718979;scuolainfanzia.canalsanbovo@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29326;https://it.wikipedia.org/wiki/Canal_San_Bovo;https://www.vivoscuola.it/content/view/full/29329
scuola dell'infanzia di castello tesino;via venezia, 16/a 38053;castello tesino;0461593023;scuolainfanzia.castellotesino@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29326;https://it.wikipedia.org/wiki/Castello_Tesino;https://www.vivoscuola.it/content/view/full/29330
scuola dell'infanzia di centa san nicolò;via dei campi - centa san nicolo, 14 38049;altopiano della vigolana;0461722120;scuolainfanzia.centa@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29326;https://it.wikipedia.org/wiki/Altopiano_della_Vigolana;https://www.vivoscuola.it/content/view/full/29331
scuola dell'infanzia di imer;via nazionale, 71 38050;imer;043967668;scuolainfanzia.imer@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29326;https://it.wikipedia.org/wiki/Imer;https://www.vivoscuola.it/content/view/full/29332
"scuola dell'infanzia di levico terme ""taita marcos""";via monsignor caproni, 1 38056;levico terme;0461710298;scuolainfanzia.levico@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29326;https://it.wikipedia.org/wiki/Levico_Terme;https://www.vivoscuola.it/content/view/full/29333
"scuola dell'infanzia di novaledo ""don evaristo forrer""";via valle, 4 38050;novaledo;0461721100;scuolainfanzia.novaledo@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29326;https://it.wikipedia.org/wiki/Novaledo;https://www.vivoscuola.it/content/view/full/29334
"scuola dell'infanzia di tenna ""il sentiero""";via venezia, 1 38050;tenna;0461707635;scuolainfanzia.tenna@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29326;https://it.wikipedia.org/wiki/Tenna_(comune);https://www.vivoscuola.it/content/view/full/29335
scuola dell'infanzia di vattaro;via giardino - vattaro, 7 38049;altopiano della vigolana;0461848066;scuolainfanzia.vattaro@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29326;https://it.wikipedia.org/wiki/Altopiano_della_Vigolana;https://www.vivoscuola.it/content/view/full/29336
"scuola dell'infanzia di vigolo vattaro ""giardino dell'amicizia""";via al castello - vigolo vattaro, 10 38049;altopiano della vigolana;0461848577;scuolainfanzia.vigolovattaro@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29326;https://it.wikipedia.org/wiki/Altopiano_della_Vigolana;https://www.vivoscuola.it/content/view/full/29337
"scuola dell'infanzia di villa agnedo ""natale alpino""";via dei molini - agnedo, 36 38059;castel ivano;0461762822;scuolainfanzia.villagnedo@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29326;https://it.wikipedia.org/wiki/Castel_Ivano_(comune);https://www.vivoscuola.it/content/view/full/29338
"scuola dell'infanzia di trento  ""crosina sartori""";via gocciadoro, 84 38122;trento;0461925679;scuolainfanzia.crosina@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29339;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29340
"scuola dell'infanzia di trento  ""gianni rodari""";via giovanelli, 6 38122;trento;0461986198;scuolainfanzia.rodari@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29339;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29341
"scuola dell'infanzia di trento  povo ""m.c. conotter""";via della resistenza, 48 38123;trento;0461810574;scuolainfanzia.povo@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29339;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29342
"scuola dell'infanzia di trento clarina   ""piccolo mondo""";via gramsci, 11 38123;trento;0461925726;scuolainfanzia.piccolomondo@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29339;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29344
"scuola dell'infanzia di trento cristo re ""piccolo principe""";via senesi, 3 38121;trento;0461824334;scuolainfanzia.cristore@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29339;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29345
"scuola dell'infanzia di trento madonna bianca ""l'albero del sole""";via bettini, 3 38123;trento;0461922124;scuolainfanzia.madonnabianca@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29339;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29346
scuola dell'infanzia di trento s.martino;via della predara, 16 38121;trento;0461237516;scuolainfanzia.sanmartino@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29339;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29347
"scuola dell'infanzia di trento villazzano 3 ""l'officina degli gnomi""";via conci, 10 38123;trento;0461920367;scuolainfanzia.villazzano@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29339;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29343
"scuola dell'infanzia di cimone ""mamma teresa""";frazione petrolli, 37 38060;cimone;0461855216;scuolainfanzia.cimone@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29348;https://it.wikipedia.org/wiki/Cimone_(comune);https://www.vivoscuola.it/content/view/full/29349
"scuola dell'infanzia di trento  ""torrione""";via al torrione, 10 38122;trento;0461232554;scuolainfanzia.torrione@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29348;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29350
"scuola dell'infanzia di trento  mattarello  ""il castello""";via del castel, 1/a 38123;trento;0461945095;scuolainfanzia.mattarello@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29348;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29351
"scuola dell'infanzia di trento  ravina  ""girotondo""";via per belvedere, 8 38123;trento;0461922216;scuolainfanzia.ravina@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29348;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29352
"scuola dell'infanzia di trento  romagnano  ""gli gnomi del bosco""";via delle prede, 2 38123;trento;0461349153;scuolainfanzia.romagnano@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29348;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29353
"scuola dell'infanzia di trento s.giuseppe ""maso ginocchio - collodi""";via giusti, 56 38122;trento;0461930042;scuolainfanzia.sangiuseppe@scuole.provincia.tn.it;;https://www.vivoscuola.it/content/view/full/29348;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29354
