id;main institute;school;institute type;administration type;manager;director;educational coordinator;address;municipality;telephone;fax;institute email;management email;secretary's office email;website;miur code;vivoscuola institute link;entity;wikipedia municipality link;vivoscuola school link
43;centro formazione professionale opera armida barelli - rovereto;settore servizi;;paritaria/equiparata;bernardo zanoner;camilla cestari;;via setaioli, 5 38068;rovereto;0464433771;0464/431711;cfprovereto@pec.operaarmidabarelli.org;;cfprovereto@operaarmidabarelli.org;https://www.operaarmidabarelli.org;tncf005001;https://www.vivoscuola.it/content/view/full/29270;school;https://it.wikipedia.org/wiki/Rovereto;https://www.vivoscuola.it/content/view/full/29271
44;centro formazione professionale pavoniano artigianelli - trento;;istituzione scolastica e formativa;paritaria/equiparata;erik gadotti;;;piazza di fiera, 4 38122;trento;0461270244;0461/270241;scuolagrafica@pec.artigianelli.tn.it;;scuolagrafica@artigianelli.tn.it;http://www.artigianelli.tn.it/;tncf004001;https://www.vivoscuola.it/content/view/full/29272;institute;https://it.wikipedia.org/wiki/Trento;
45;centro formazione professionale pavoniano artigianelli - trento;capes - settore industria e artigianato;;paritaria/equiparata;erik gadotti;;;piazza di fiera, 4 38122;trento;0461270244;0461/270241;scuolagrafica@pec.artigianelli.tn.it;;scuolagrafica@artigianelli.tn.it;http://www.artigianelli.tn.it/;tncf004001;https://www.vivoscuola.it/content/view/full/29272;school;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/170201
46;centro formazione professionale pavoniano artigianelli - trento;settore industria e artigianato;;paritaria/equiparata;erik gadotti;;;piazza di fiera, 4 38122;trento;0461270244;0461/270241;scuolagrafica@pec.artigianelli.tn.it;;scuolagrafica@artigianelli.tn.it;http://www.artigianelli.tn.it/;tncf004001;https://www.vivoscuola.it/content/view/full/29272;school;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29273
47;centro formazione professionale upt - arco;;istituzione scolastica e formativa;paritaria/equiparata;;claudio nicolussi;;via gazzoletti, 10 38062;arco;0464556585;0464/556599;cfp-upt@pec.it;;segreteria.arco@cfp-upt.it;https://www.cfpupt.it/sede-di-arco;;https://www.vivoscuola.it/content/view/full/29274;institute;https://it.wikipedia.org/wiki/Arco_(Italia);
48;centro formazione professionale upt - arco;capes - settore servizi;;paritaria/equiparata;;claudio nicolussi;;via gazzoletti - mogno, 10 38062;arco;0464556585;0464/556599;cfp-upt@pec.it;;segreteria.arco@cfp-upt.it;https://www.cfpupt.it/sede-di-arco;tncf005003;https://www.vivoscuola.it/content/view/full/29274;school;https://it.wikipedia.org/wiki/Arco_(Italia);https://www.vivoscuola.it/content/view/full/170202
49;centro formazione professionale upt - arco;settore servizi;;paritaria/equiparata;;claudio nicolussi;;via gazzoletti, 10 38062;arco;0464556585;0464/556599;cfp-upt@pec.it;;segreteria.arco@cfp-upt.it;https://www.cfpupt.it/sede-di-arco;tnfp261sta;https://www.vivoscuola.it/content/view/full/29274;school;https://it.wikipedia.org/wiki/Arco_(Italia);https://www.vivoscuola.it/content/view/full/29275
50;centro formazione professionale upt - borgo valsugana;;istituzione scolastica e formativa;paritaria/equiparata;;claudia mammani;;via del mercato, 9/a 38051;borgo valsugana;04611830221;0461/233877;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;;https://www.vivoscuola.it/content/view/full/122609;institute;https://it.wikipedia.org/wiki/Borgo_Valsugana;
51;centro formazione professionale upt - borgo valsugana;settore servizi;;paritaria/equiparata;;claudia mammani;;via del mercato, 9/a 38051;borgo valsugana;04611830221;0461/233877;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;tnfp273sta;https://www.vivoscuola.it/content/view/full/122609;school;https://it.wikipedia.org/wiki/Borgo_Valsugana;https://www.vivoscuola.it/content/view/full/122610
52;centro formazione professionale upt - cles;;istituzione scolastica e formativa;paritaria/equiparata;;walter iori;;via d agostin, 2 38023;cles;0463422820;0463/424409;cfp-upt@pec.it;;segreteria.cles@cfp-upt.it;https://www.cfp-upt.it;;https://www.vivoscuola.it/content/view/full/29276;institute;https://it.wikipedia.org/wiki/Cles;
53;centro formazione professionale upt - cles;capes - settore servizi;;paritaria/equiparata;;walter iori;;via d agostin, 2 38023;cles;0463422820;0463/424409;cfp-upt@pec.it;;segreteria.cles@cfp-upt.it;https://www.cfp-upt.it;tncf00600v;https://www.vivoscuola.it/content/view/full/29276;school;https://it.wikipedia.org/wiki/Cles;https://www.vivoscuola.it/content/view/full/170203
54;centro formazione professionale upt - cles;settore servizi;;paritaria/equiparata;;walter iori;;via d agostin, 2 38023;cles;0463422820;0463/424409;cfp-upt@pec.it;;segreteria.cles@cfp-upt.it;https://www.cfp-upt.it;tnfp262sta;https://www.vivoscuola.it/content/view/full/29276;school;https://it.wikipedia.org/wiki/Cles;https://www.vivoscuola.it/content/view/full/29277
55;centro formazione professionale upt - rovereto;;istituzione scolastica e formativa;paritaria/equiparata;;paolo zanlucchi;;via pasqui, 10 38068;rovereto;0464630050;;cfp-upt@pec.it;;segreteria.rovereto@cfp-upt.it;https://www.cfp-upt.it;;https://www.vivoscuola.it/content/view/full/29278;institute;https://it.wikipedia.org/wiki/Rovereto;
56;centro formazione professionale upt - rovereto;capes - settore servizi;;paritaria/equiparata;;paolo zanlucchi;;via pasqui, 10 38068;rovereto;0464630050;;cfp-upt@pec.it;;segreteria.rovereto@cfp-upt.it;https://www.cfp-upt.it;tncf00900a;https://www.vivoscuola.it/content/view/full/29278;school;https://it.wikipedia.org/wiki/Rovereto;https://www.vivoscuola.it/content/view/full/439664
57;centro formazione professionale upt - rovereto;settore servizi;;paritaria/equiparata;;paolo zanlucchi;;via pasqui, 10 38068;rovereto;0464630050;;cfp-upt@pec.it;;segreteria.rovereto@cfp-upt.it;https://www.cfp-upt.it;tnfp000001;https://www.vivoscuola.it/content/view/full/29278;school;https://it.wikipedia.org/wiki/Rovereto;https://www.vivoscuola.it/content/view/full/29279
58;centro formazione professionale upt - tione di trento;;istituzione scolastica e formativa;paritaria/equiparata;;maurizio cadonna ;;via roma, 15 38079;tione di trento;0465321889;0465/324518;cfp-upt@pec.it;;segreteria.tione@cfp-upt.it;https://www.cfp-upt.it;;https://www.vivoscuola.it/content/view/full/29280;institute;https://it.wikipedia.org/wiki/Tione_di_Trento;
59;centro formazione professionale upt - tione di trento;capes - settore servizi;;paritaria/equiparata;;maurizio cadonna ;;via roma, 15 38079;tione di trento;0465321889;0465/324518;cfp-upt@pec.it;;segreteria.tione@cfp-upt.it;https://www.cfp-upt.it;tncf00700p;https://www.vivoscuola.it/content/view/full/29280;school;https://it.wikipedia.org/wiki/Tione_di_Trento;https://www.vivoscuola.it/content/view/full/170204
60;centro formazione professionale upt - tione di trento;settore servizi;;paritaria/equiparata;;maurizio cadonna ;;via roma, 15 38079;tione di trento;0465321889;0465/324518;cfp-upt@pec.it;;segreteria.tione@cfp-upt.it;https://www.cfp-upt.it;tnfp263sta;https://www.vivoscuola.it/content/view/full/29280;school;https://it.wikipedia.org/wiki/Tione_di_Trento;https://www.vivoscuola.it/content/view/full/29281
61;centro formazione professionale upt - trento;;istituzione scolastica e formativa;paritaria/equiparata;;walter iori;;via borsieri, 2 38122;trento;0461239997;0461/260235;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;tncf003001;https://www.vivoscuola.it/content/view/full/29282;institute;https://it.wikipedia.org/wiki/Trento;
62;centro formazione professionale upt - trento;capes - settore servizi;;paritaria/equiparata;;walter iori;;viale verona, 141 38123;trento;0461239997;0461/260235;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;tncf003001;https://www.vivoscuola.it/content/view/full/29282;school;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/170205
63;centro formazione professionale upt - trento;settore servizi;;paritaria/equiparata;;walter iori;;via borsieri, 2 38122;trento;0461239997;0461/260235;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;tncf003001;https://www.vivoscuola.it/content/view/full/29282;school;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29283
64;centro formazione professionale upt - trento;settore servizi serale;;paritaria/equiparata;;walter iori;;via borsieri, 2 38122;trento;0461239997;0461/260235;cfp-upt@pec.it;;segreteria.sede@cfp-upt.it;https://www.cfp-upt.it;;https://www.vivoscuola.it/content/view/full/29282;school;https://it.wikipedia.org/wiki/Trento;https://www.vivoscuola.it/content/view/full/29284
65;circolo di coordinamento n. 1;;circolo di coordinamento pedagogico;a carattere statale/provinciale;;;katia pegoretti;viale dante, 5 38057;pergine valsugana;0461493491;0461/493495;circolo.coordinamento01@provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;institute;https://it.wikipedia.org/wiki/Pergine_Valsugana;
66;circolo di coordinamento n. 1;scuola dell'infanzia di baselga di piné;;a carattere statale/provinciale;;;katia pegoretti;via del municipio vecchio, 2 38042;baselga di piné;0461557640;0461/493495;scuolainfanzia.baselgadipine@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school;https://it.wikipedia.org/wiki/Baselga_di_Pin%C3%A9;https://www.vivoscuola.it/content/view/full/29289
67;circolo di coordinamento n. 1;"scuola dell'infanzia di capriana ""maddalena lazzeri""";;a carattere statale/provinciale;;;katia pegoretti;piazza scuole, 3 38030;capriana;0462816377;0461/493495;scuolainfanzia.capriana@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school;https://it.wikipedia.org/wiki/Capriana;https://www.vivoscuola.it/content/view/full/29290
68;circolo di coordinamento n. 1;scuola dell'infanzia di casatta;;a carattere statale/provinciale;;;katia pegoretti;frazione casatta, 54 38040;valfloriana;0462910249;0461/493495;scuolainfanzia.casatta@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school;https://it.wikipedia.org/wiki/Valfloriana;https://www.vivoscuola.it/content/view/full/29291
69;circolo di coordinamento n. 1;scuola dell'infanzia di civezzano;;a carattere statale/provinciale;;;katia pegoretti;via telvana, 4 38045;civezzano;0461858481;0461/493495;scuolainfanzia.civezzano@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;;https://www.vivoscuola.it/content/view/full/29288;school;https://it.wikipedia.org/wiki/Civezzano;https://www.vivoscuola.it/content/view/full/29292
